Year,AbMood
1972,59.325
1973,63.671
1974,67.301
1975,65.792
1976,66.451
1977,66.207
1978,65.106
1979,65.546
1980,65.99
1981,64.236
1982,65.145
1983,64.178
1984,63.236
1985,61.909
1986,63.595
1987,61.564
1988,61.841
1989,63.952
1990,66.53
1991,67.206
1992,69.589
1993,68.861
1994,67.378
1995,70.087
1996,67.523
1997,66.767
1998,64.407
1999,65.192
2000,63.667
2001,63.843
2002,63.596
2003,61.546
2004,59.771
2005,60.436
2006,58.955
2007,60.284
2008,61.371
2009,60.185
2010,59.465
2011,59.082
2012,59.968
2013,58.839
2014,59.586
2015,60.576
2016,61.316
2017,64.697
2018,64.294
2019,66.188
2020,66.817
2021,65.293
2022,66.672
2023,69.648
