schoolid,schoolname,CalendarYear,NumApps,NumFTApps,NumPTApps,NumOffers,NumFTOffers,NumPTOffers,NumMatriculants,NumFTMatriculants,NumPTMatriculants,OtherFirstYear,TotalFirstYear,FTFirstYear,PTFirstYear,UGGPA75,FTUGGPA75,PTUGGPA75,UGGPA50,FTUGGPA50,PTUGGPA50,UGGPA25,FTUGGPA25,PTUGGPA25,UGGPAExcl,FTUGGPAExcl,PTUGGPAExcl,LSAT75,FTLSAT75,PTLSAT75,LSAT50,FTLSAT50,PTLSAT50,LSAT25,FTLSAT25,PTLSAT25,LSATExcl,FTLSATExcl,PTLSATExcl,GMATEnrolled,ACTEnrolled,GREEnrolled,GREFTEnrollees,GREPTEnrollees,SATEnrolled,GMAT75,GMAT50,GMAT25,ACT75,ACT50,ACT25,GREVerbal75,GREVerbal50,GREVerbal25,GREQuant75,GREQuant50,GREQuant25,GREAnalytical75,GREAnalytical50,GREAnalytical25,SAT75,SAT50,SAT25,FTGREAnalytical25,FTGREAnalytical50,FTGREAnalytical75,FTGREQuant25,FTGREQuant50,FTGREQuant75,FTGREVerbal25,FTGREVerbal50,FTGREVerbal75,PTGREAnalytical25,PTGREAnalytical50,PTGREAnalytical75,PTGREQuant25,PTGREQuant50,PTGREQuant75,PTGREVerbal25,PTGREVerbal50,PTGREVerbal75,UGGPAIncl,FTUGGPAIncl,PTUGGPAIncl,LSATEnrolled,FTLSATEnrolled,PTLSATEnrolled,JDNextEnrolled,FTJDNextEnrolled,PTJDNextEnrolled,JDNext75,FTJDNext75,PTJDNext75,JDNext50,FTJDNext50,PTJDNext50,JDNext25,FTJDNext25,PTJDNext25
00100300,Faulkner University,2024,511,,,286,,,107,,,5,112,112,0,3.59,3.59,,3.3,3.3,,2.92,2.92,,,,,153,153,,150,150,,147,147,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,109,109,0,0,0,0,,,,,,,,,
00103600,Samford University,2024,673,,,396,,,154,,,4,158,158,0,3.8,3.8,,3.63,3.63,,3.44,3.44,,,,,159,159,,155,155,,152,152,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,158,158,0,0,0,0,,,,,,,,,
00105100,University of Alabama,2024,1422,,,378,,,116,,,0,116,116,0,4.04,4.04,,3.95,3.95,,3.68,3.68,,,,,168,168,,165,165,,158,158,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,104,104,0,0,0,0,,,,,,,,,
00108100,Arizona State University,2024,4118,,,908,,,248,,,3,251,251,0,4,4,,3.9,3.9,,3.62,3.62,,,,,167,167,,165,165,,156,156,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,238,238,0,0,0,0,,,,,,,,,
00108300,University of Arizona,2024,1600,,,486,,,102,,,0,102,102,0,3.88,3.88,,3.78,3.78,,3.52,3.52,,,,,164,164,,163,163,,160,160,,,,,,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,87,87,0,9,9,0,820,820,0,780,780,0,750,750,0
00110101,University of Arkansas-Little Rock,2024,521,,,204,,,136,,,5,141,112,29,3.69,3.71,3.66,3.47,3.49,3.39,3.19,3.19,3.1,,,,155,155,157,151,151,153,148,148,147,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,141,112,29,0,0,0,,,,,,,,,
00110800,University of Arkansas-Fayetteville,2024,832,,,233,,,122,,,1,123,123,0,3.86,3.86,,3.63,3.63,,3.31,3.31,,,,,158,158,,156,156,,153,153,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,123,123,0,0,0,0,,,,,,,,,
00116453,Chapman University,2024,2082,,,565,,,141,,,2,143,143,0,3.83,3.83,,3.67,3.67,,3.27,3.27,,,,,164,164,,162,162,,155,155,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,143,143,0,0,0,0,,,,,,,,,
00129500,Southwestern Law School,2024,2946,,,1160,,,406,,,10,416,355,61,3.67,3.68,3.63,3.48,3.49,3.43,3.24,3.25,3.15,,,,158,158,158,155,155,156,153,153,153,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,416,355,61,0,0,0,,,,,,,,,
00130503,Stanford University,2024,4270,,,378,,,171,,,14,185,185,0,4,4,,3.92,3.92,,3.78,3.78,,,,,175,175,,173,173,,169,169,,,,,,,17,17,0,,,,,,,,170,166,164,168,165,160,6,5,5,,,,5,5,5.5,160,165,168,164,166,170,,,,,,,,,,7,7,0,168,168,0,0,0,0,,,,,,,,,
00131273,University of California-Berkeley,2024,6463,,,1118,,,338,,,11,349,349,0,3.95,3.95,,3.87,3.87,,3.8,3.8,,,,,172,172,,170,170,,167,167,,,,,,,12,12,0,,,,,,,,167,165,162,164,159,154,6,6,5,,,,4.5,5.5,6,154,159,164,162,165,167,,,,,,,,,,8,8,0,337,337,0,0,0,0,,,,,,,,,
00131373,University of California-Davis,2024,2880,,,955,,,192,,,6,198,198,0,3.87,3.87,,3.68,3.68,,3.48,3.48,,,,,165,165,,163,163,,159,159,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,195,195,0,0,0,0,,,,,,,,,
00131400,University of California-Irvine,2024,3096,,,538,,,173,,,0,173,173,0,3.89,3.89,,3.81,3.81,,3.65,3.65,,,,,168,168,,167,167,,163,163,,,,,,,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,168,168,0,0,0,0,,,,,,,,,
00131500,University of California-Los Angeles,2024,6932,,,1116,,,307,,,8,315,315,0,4,4,,3.95,3.95,,3.69,3.69,,,,,171,171,,170,170,,165,165,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,313,313,0,0,0,0,,,,,,,,,
00132500,University of San Francisco,2024,1869,,,1019,,,165,,,3,168,163,5,3.58,3.58,0,3.37,3.37,0,3.07,3.07,0,,,,157,157,0,154,154,0,152,152,0,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,168,163,5,0,0,0,,,,,,,,,
00132600,Santa Clara University,2024,1981,,,1314,,,244,,,2,246,192,54,3.69,3.66,3.7,3.44,3.45,3.37,3.15,3.17,3.03,,,,160,160,160,157,157,157,154,154,154,,,,,,11,7,4,,,,,,,,164,160,153,163,155,147,5,5,4,,,,,,,,,,,,,,,,,,,,,,15,9,6,235,185,50,0,0,0,,,,,,,,,
00132800,University of Southern California,2024,6203,,,770,,,200,,,1,201,201,0,3.97,3.97,,3.91,3.91,,3.82,3.82,,,,,170,170,,169,169,,165,165,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,188,188,0,0,0,0,,,,,,,,,
00132901,McGeorge School of Law,2024,1031,,,613,,,207,,,5,212,174,38,3.77,3.8,3.52,3.52,3.56,3.01,3.13,3.27,2.55,,,,158,158,156,155,155,153,152,152,152,,,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,208,173,35,0,0,0,,,,,,,,,
00137000,University of Colorado,2024,2860,,,1042,,,184,,,5,189,189,0,3.88,3.88,,3.79,3.79,,3.55,3.55,,,,,166,166,,164,164,,160,160,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,189,189,0,0,0,0,,,,,,,,,
00137100,University of Denver,2024,1909,,,1013,,,266,,,4,270,226,44,3.81,3.81,3.76,3.65,3.66,3.61,3.43,3.45,3.37,,,,162,161,163,159,159,158,155,155,155,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,269,226,43,0,0,0,,,,,,,,,
00140201,Quinnipiac University,2024,1082,,,665,,,146,,,2,148,124,24,3.81,3.83,3.62,3.59,3.6,3.31,3.33,3.41,3.07,,,,156,156,155,153,153,152,149,150,149,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,148,124,24,0,0,0,,,,,,,,,
00141706,University of Connecticut,2024,1481,,,447,,,145,,,3,148,129,19,3.87,3.9,3.8,3.72,3.72,3.63,3.5,3.52,3.38,,,,163,163,165,161,161,159,158,158,154,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,148,129,19,0,0,0,,,,,,,,,
00142600,Yale University,2024,4358,,,229,,,174,,,30,204,204,0,4,4,,3.96,3.96,,3.91,3.91,,,,,177,177,,174,174,,170,170,,,,,,,24,24,0,,,,,,,,169,167,165,169,164,160,6,6,5,,,,5,5.5,6,160,164,169,165,167,169,,,,,,,,,,5,5,0,179,179,0,0,0,0,,,,,,,,,
00143401,American University,2024,5216,,,2075,,,408,,,4,412,352,60,3.73,3.74,3.69,3.61,3.61,3.6,3.37,3.38,3.36,,,,163,163,163,160,160,161,155,155,157,,,,,,7,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,7,405,348,57,0,0,0,,,,,,,,,
00143711,Catholic University of America,2024,1256,,,435,,,125,,,1,126,102,24,3.76,3.76,3.73,3.64,3.66,3.53,3.38,3.43,3.25,,,,162,162,161,160,160,158,158,158,156,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,123,100,23,0,0,0,,,,,,,,,
00144102,District of Columbia,2024,620,,,230,,,58,,,11,69,39,30,3.51,3.53,3.41,3.18,3.29,2.94,2.81,3.09,2.72,,,,154,153,156,150,149,151,148,148,150,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,69,39,30,0,0,0,,,,,,,,,
00144402,George Washington University,2024,8091,,,2637,,,520,,,7,527,502,25,3.93,3.93,3.9,3.87,3.87,3.78,3.62,3.63,3.32,,,,169,169,168,168,168,168,159,159,157,,,,,,12,12,0,,,,,,,,159,158,154,159,154,152,6,5,4,,,,4,4.5,5.5,152,154,159,154,158,159,,,,,,,,,,27,25,2,506,483,23,0,0,0,,,,,,,,,
00144503,Georgetown University,2024,11309,,,2276,,,625,,,30,655,590,65,3.97,3.98,3.84,3.92,3.92,3.73,3.72,3.75,3.43,,,,172,172,171,171,171,168,166,166,163,,,,,,30,19,11,,,,,,,,166,164,161,163,159,157,6,5,5,,,,4.5,5.5,6,157,159,164,160,164,166,4.5,5,5.5,157,158,161,161,164,168,19,16,3,598,555,43,0,0,0,,,,,,,,,
00144802,Howard University,2024,1990,,,637,,,199,,,2,201,201,0,3.7,3.7,,3.47,3.47,,3.15,3.15,,,,,158,158,,155,155,,153,153,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,201,201,0,0,0,0,,,,,,,,,
00146601,Barry University,2024,1397,,,841,,,239,,,1,240,201,39,3.53,3.53,3.54,3.21,3.23,3.18,2.91,2.91,2.89,,,,152,152,151,150,150,149,148,148,147,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,240,201,39,0,0,0,,,,,,,,,
00146800,St. Thomas University (Florida),2024,1505,,,913,,,390,,,25,415,415,0,3.58,3.58,,3.3,3.3,,2.98,2.98,,,,,155,155,,152,152,,149,149,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,415,415,0,0,0,0,,,,,,,,,
00148001,Florida A&M University,2024,1264,,,501,,,112,,,0,112,90,22,3.64,3.65,3.59,3.44,3.46,3.19,3.21,3.23,3.01,,,,154,154,154,151,150,152,147,147,149,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,112,90,22,0,0,0,,,,,,,,,
00148900,Florida State University,2024,2335,,,465,,,135,,,3,138,138,0,3.97,3.97,,3.91,3.91,,3.59,3.59,,,,,166,166,,165,165,,158,158,,,,,,,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,131,131,0,0,0,0,,,,,,,,,
00149500,Jacksonville University,2024,279,,,96,,,43,,,0,43,43,0,3.67,3.67,,3.53,3.53,,3.19,3.19,,,,,156,156,,154,154,,151,151,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,43,43,0,0,0,0,,,,,,,,,
00150900,Nova Southeastern University,2024,1316,,,745,,,209,,,6,215,186,29,3.7,3.7,3.68,3.52,3.51,3.54,3.29,3.32,2.93,,,,156,156,154,153,153,152,150,151,148,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,215,186,29,0,0,0,,,,,,,,,
00153101,Stetson University,2024,2291,,,939,,,335,,,10,345,284,61,3.79,3.8,3.62,3.6,3.64,3.4,3.37,3.41,2.99,,,,161,161,158,158,159,156,156,156,154,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,345,284,61,0,0,0,,,,,,,,,
00153505,University of Florida,2024,3642,,,635,,,206,,,4,210,210,0,3.96,3.96,,3.9,3.9,,3.67,3.67,,,,,170,170,,169,169,,164,164,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,189,189,0,0,0,0,,,,,,,,,
