schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00100300,Faulkner University,2024,2023,36,2,34,0.0556,0,0,0.0556,5,0,39,26,,0.6667,0.7902,-0.1235,0,0.6667,2021,61,5,0,56,50,0.8929,0,0.8929
00103600,Samford University,2024,2023,138,11,127,0.0797,0,0,0.0797,7,0,134,105,,0.7836,0.7888,-0.0052,0,0.7836,2021,132,3,2,129,121,0.938,0,0.938
00105100,University of Alabama,2024,2023,122,4,114,0.0328,4,0.0328,0.0656,1,0,115,105,,0.913,0.7823,0.1307,0,0.913,2021,118,8,1,109,103,0.945,0,0.945
00108100,Arizona State University,2024,2023,262,35,219,0.1336,8,0.0305,0.1641,19,4,238,206,,0.8655,0.7472,0.1183,,0.8655,2021,267,2,2,263,252,0.9582,0,0.9582
00108300,University of Arizona,2024,2023,116,19,97,0.1638,0,0,0.1638,19,17,116,91,,0.7845,0.7495,0.035,0,0.7845,2021,129,3,0,126,107,0.8492,0,0.8492
00110101,University of Arkansas-Little Rock,2024,2023,122,10,112,0.082,0,0,0.082,14,0,126,95,,0.754,0.7722,-0.0182,0,0.754,2021,127,8,0,119,106,0.8908,0,0.8908
00110800,University of Arkansas-Fayetteville,2024,2023,113,5,107,0.0442,1,0.0088,0.0531,19,0,126,103,,0.8175,0.7748,0.0427,0,0.8175,2021,108,8,2,98,90,0.9184,0,0.9184
00116453,Chapman University,2024,2023,139,0,139,0,0,0,0,1,1,140,112,,0.8,0.723,0.077,0,0.8,2021,137,0,0,137,115,0.8394,0,0.8394
00129500,Southwestern Law School,2024,2023,255,21,227,0.0824,7,0.0275,0.1098,34,0,261,167,,0.6398,0.7234,-0.0836,0,0.6398,2021,223,0,2,221,198,0.8959,0,0.8959
00130503,Stanford University,2024,2023,180,13,166,0.0722,1,0.0056,0.0778,16,,182,176,,0.967,0.7696,0.1974,,0.967,2021,182,13,,169,167,0.9882,,0.9882
00131273,University of California-Berkeley,2024,2023,335,14,318,0.0418,3,0.009,0.0507,5,0,323,285,,0.8824,0.7454,0.137,0,0.8824,2021,328,4,2,322,319,0.9907,0,0.9907
00131373,University of California-Davis,2024,2023,177,9,168,0.0508,0,0,0.0508,5,0,173,143,,0.8266,0.7284,0.0982,0,0.8266,2021,202,4,2,196,181,0.9235,0,0.9235
00131400,University of California-Irvine,2024,2023,131,5,126,0.0382,0,0,0.0382,11,0,137,119,,0.8686,0.7322,0.1364,0,0.8686,2021,214,8,0,206,196,0.9515,0,0.9515
00131500,University of California-Los Angeles,2024,2023,320,3,308,0.0094,9,0.0281,0.0375,14,0,322,286,,0.8882,0.7362,0.152,0,0.8882,2021,341,0,7,334,322,0.9641,0,0.9641
00132500,University of San Francisco,2024,2023,86,10,76,0.1163,0,0,0.1163,19,0,95,64,,0.6737,0.7243,-0.0506,0,0.6737,2021,107,5,,102,85,0.8333,0,0.8333
00132600,Santa Clara University,2024,2023,229,42,187,0.1834,0,0,0.1834,25,0,212,131,,0.6179,0.7257,-0.1078,,0.6179,2021,214,13,,201,173,0.8607,,0.8607
00132800,University of Southern California,2024,2023,183,5,177,0.0273,1,0.0055,0.0328,5,0,182,150,,0.8242,0.7357,0.0885,0,0.8242,2021,191,3,0,188,184,0.9787,0,0.9787
00132901,McGeorge School of Law,2024,2023,161,22,139,0.1366,0,0,0.1366,28,0,167,112,,0.6707,0.7252,-0.0545,0,0.6707,2021,188,2,3,183,151,0.8251,0,0.8251
00137000,University of Colorado,2024,2023,171,9,161,0.0526,1,0.0058,0.0585,14,0,175,142,,0.8114,0.7755,0.0359,0,0.8114,2021,170,6,0,164,152,0.9268,0,0.9268
00137100,University of Denver,2024,2023,261,44,217,0.1686,0,0,0.1686,40,0,257,210,,0.8171,0.7771,0.04,0,0.8171,2021,243,8,0,235,216,0.9191,0,0.9191
00140201,Quinnipiac University,2024,2023,123,19,101,0.1545,3,0.0244,0.1789,14,0,115,76,,0.6609,0.6924,-0.0315,0,0.6609,2021,107,5,5,97,80,0.8247,0,0.8247
00141706,University of Connecticut,2024,2023,157,17,140,0.1083,0,0,0.1083,7,2,147,119,,0.8095,0.7136,0.0959,0,0.8095,2021,136,0,16,120,107,0.8917,0,0.8917
00142600,Yale University,2024,2023,227,23,204,0.1013,0,0,0.1013,14,0,218,211,,0.9679,0.7997,0.1682,0,0.9679,2021,221,13,0,208,206,0.9904,0,0.9904
00143401,American University,2024,2023,321,30,289,0.0935,2,0.0062,0.0997,37,0,326,244,,0.7485,0.7995,-0.051,0,0.7485,2021,408,21,3,384,356,0.9271,,0.9271
00143711,Catholic University of America,2024,2023,109,9,100,0.0826,0,0,0.0826,3,0,103,87,,0.8447,0.7926,0.0521,0,0.8447,2021,117,2,1,114,99,0.8684,0,0.8684
00144102,District of Columbia,2024,2023,49,7,42,0.1429,0,0,0.1429,6,4,48,23,,0.4792,0.7951,-0.3159,0,0.4792,2021,44,9,0,35,20,0.5714,0,0.5714
00144402,George Washington University,2024,2023,551,3,482,0.0054,66,0.1198,0.1252,7,0,489,421,,0.8609,0.8088,0.0521,0,0.8609,2021,569,1,74,494,475,0.9615,0,0.9615
00144503,Georgetown University,2024,2023,682,1,643,0.0015,38,0.0557,0.0572,21,3,664,601,,0.9051,0.8075,0.0976,0,0.9051,2021,674,6,31,637,619,0.9717,0,0.9717
00144802,Howard University,2024,2023,133,14,119,0.1053,0,0,0.1053,9,0,128,95,,0.7422,0.804,-0.0618,0,0.7422,2021,141,20,0,121,94,0.7769,0,0.7769
00146601,Barry University,2024,2023,196,43,123,0.2194,30,0.1531,0.3724,40,2,163,86,,0.5276,0.6871,-0.1595,0,0.5276,2021,183,10,5,168,126,0.75,0,0.75
00146800,St. Thomas University (Florida),2024,2023,221,42,177,0.19,2,0.009,0.1991,25,0,202,118,,0.5842,0.6781,-0.0939,0,0.5842,2021,150,2,0,148,112,0.7568,,0.7568
00148001,Florida A&M University,2024,2023,103,28,68,0.2718,7,0.068,0.3398,34,0,102,41,,0.402,0.7063,-0.3043,0,0.402,2021,157,7,2,148,113,0.7635,0,0.7635
00148900,Florida State University,2024,2023,203,33,163,0.1626,7,0.0345,0.197,19,0,182,151,,0.8297,0.6846,0.1451,,0.8297,2021,221,1,0,220,207,0.9409,0,0.9409
00150900,Nova Southeastern University,2024,2023,166,17,144,0.1024,5,0.0301,0.1325,14,1,158,101,,0.6392,0.6784,-0.0392,0,0.6392,2021,192,5,2,185,145,0.7838,0,0.7838
