schoolid,schoolname,CalendarYear,AcademicYear,JD1SectionSz,FTJD1SectionSz,PTJD1SectionSz,PostJD1Courses,CourseSecLT25,CourseSecLT50,CourseSecLT75,CourseSecLT100,CourseSectGTE100,TotalSimPos,SimPosFilled,FTSimPosFilled,PTSimPosFilled,Seminars,SemPosFilled,FTSemPosFilled,PTSemPosFilled,TotalClinics,TotalClinPos,ClinPosFilled,FTClinPosFilled,PTClinPosFilled,FieldPosFilled,FTFieldPosFilled,PTFieldPosFilled,IndStudy,FTIndStudy,PTIndStudy,LawJour,FTLawJour,PTLawJour,InterSkillsComp,FTInterSkillsComp,PTInterSkillsComp,CoCurricularOffers,GradReqCreditHrs,FYReqCoursCreditHrs,ULReqCoursCreditHrs
00100300,Faulkner University,2024,2023,51,,,54,96,22,3,0,0,395,,,,8,,,,,64,,,,66,,,,,,,,,,,,18,90,,
00103600,Samford University,2024,2023,51,,,124,86,33,13,2,0,827,,,,21,,,,,90,,,,166,,,,,,,,,,,,4,90,,
00105100,University of Alabama,2024,2023,54,,,119,101,11,4,6,1,338,,,,23,,,,,288,,,,139,,,,,,,,,,,,61,90,,
00108100,Arizona State University,2024,2023,43,,,216,251,46,11,11,0,770,,,,43,,,,,231,,,,575,,,,,,,,,,,,42,88,,
00108300,University of Arizona,2024,2023,61,,,159,200,15,2,2,0,1200,,,,26,,,,,278,,,,180,,,,,,,,,,,,53,88,,
00110101,University of Arkansas-Little Rock,2024,2023,76,,,93,46,27,6,3,4,309,,,,16,,,,,120,,,,60,,,,,,,,,,,,37,90,,
00110800,University of Arkansas-Fayetteville,2024,2023,65,,,98,105,22,11,1,0,234,,,,13,,,,,64,,,,109,,,,,,,,,,,,6,90,,
00116453,Chapman University,2024,2023,47,,,96,117,18,5,0,0,824,,,,26,,,,,247,,,,202,,,,,,,,,,,,6,88,,
00129500,Southwestern Law School,2024,2023,85,,,138,106,39,31,14,2,1290,,,,17,,,,,144,,,,365,,,,,,,,,,,,19,87,,
00130503,Stanford University,2024,2023,30,,,304,157,45,15,3,2,499,,,,85,,,,,347,,,,64,,,,,,,,,,,,9,111,,
00131273,University of California-Berkeley,2024,2023,76,,,343,236,69,27,9,9,1923,,,,93,,,,,225,,,,217,,,,,,,,,,,,42,85,,
00131373,University of California-Davis,2024,2023,56,,,135,74,37,7,9,8,904,,,,24,,,,,110,,,,130,,,,,,,,,,,,12,88,,
00131400,University of California-Irvine,2024,2023,47,,,155,83,24,11,2,0,496,,,,27,,,,,363,,,,122,,,,,,,,,,,,8,86,,
00131500,University of California-Los Angeles,2024,2023,58,,,233,157,60,20,18,3,785,,,,62,,,,,285,,,,190,,,,,,,,,,,,24,87,,
00132500,University of San Francisco,2024,2023,81,,,82,61,17,12,0,0,447,,,,15,,,,,130,,,,110,,,,,,,,,,,,13,87,,
00132600,Santa Clara University,2024,2023,48,,,164,140,34,16,2,0,618,,,,11,,,,,286,,,,227,,,,,,,,,,,,13,86,,
00132800,University of Southern California,2024,2023,65,,,159,106,19,6,1,2,860,,,,25,,,,,154,,,,101,,,,,,,,,,,,12,88,,
00132901,McGeorge School of Law,2024,2023,86,,,101,119,20,9,0,0,820,,,,27,,,,,134,,,,169,,,,,,,,,,,,7,88,,
00137000,University of Colorado,2024,2023,57,,,136,91,36,7,3,0,1013,,,,17,,,,,227,,,,176,,,,,,,,,,,,22,89,,
00137100,University of Denver,2024,2023,79,,,181,151,43,9,1,0,562,,,,63,,,,,173,,,,692,,,,,,,,,,,,15,90,,
00140201,Quinnipiac University,2024,2023,46,,,160,155,9,5,1,0,545,,,,35,,,,,134,,,,148,,,,,,,,,,,,21,86,,
00141706,University of Connecticut,2024,2023,45,,,161,127,19,8,0,0,397,,,,43,,,,,180,,,,121,,,,,,,,,,,,4,86,,
00142600,Yale University,2024,2023,36,,,217,170,41,10,1,3,176,,,,94,,,,,486,,,,54,,,,,,,,,,,,0,83,,
00143401,American University,2024,2023,89,,,245,276,39,17,14,0,874,,,,62,,,,,184,,,,235,,,,,,,,,,,,119,86,,
00143711,Catholic University of America,2024,2023,39,,,105,96,15,5,1,1,144,,,,20,,,,,71,,,,89,,,,,,,,,,,,10,87,,
00144102,District of Columbia,2024,2023,29,,,60,51,11,3,0,0,210,,,,18,,,,,165,,,,26,,,,,,,,,,,,8,86,,
00144402,George Washington University,2024,2023,78,,,277,331,86,28,15,9,2469,,,,62,,,,,262,,,,480,,,,,,,,,,,,71,84,,
00144503,Georgetown University,2024,2023,113,,,531,481,98,36,16,11,1772,,,,311,,,,,641,,,,561,,,,,,,,,,,,0,85,,
00144802,Howard University,2024,2023,60,,,128,105,16,9,0,0,438,,,,39,,,,,264,,,,131,,,,,,,,,,,,10,,,
00146601,Barry University,2024,2023,40,,,98,163,51,20,1,2,944,,,,15,,,,,132,,,,48,,,,,,,,,,,,6,90,,
00146800,St. Thomas University (Florida),2024,2023,45,,,112,182,44,16,1,1,495,,,,15,,,,,39,,,,70,,,,,,,,,,,,4,90,,
00148001,Florida A&M University,2024,2023,36,,,71,58,21,0,0,0,296,,,,9,,,,,40,,,,32,,,,,,,,,,,,4,90,,
00148900,Florida State University,2024,2023,48,,,148,102,20,7,5,0,683,,,,15,,,,,115,,,,118,,,,,,,,,,,,16,88,,
00149500,Jacksonville University,2024,2023,26,,,14,15,0,0,0,0,0,,,,1,,,,,0,,,,10,,,,,,,,,,,,0,90,,
00150900,Nova Southeastern University,2024,2023,38,,,101,129,21,22,1,0,798,,,,12,,,,,140,,,,113,,,,,,,,,,,,4,90,,
00153101,Stetson University,2024,2023,74,,,182,291,38,23,6,0,1170,,,,20,,,,,339,,,,126,,,,,,,,,,,,27,88,,
00153505,University of Florida,2024,2023,46,,,158,157,34,21,3,6,1033,,,,20,,,,,195,,,,130,,,,,,,,,,,,10,88,,
00153601,University of Miami,2024,2023,74,,,328,308,68,15,9,14,1680,,,,23,,,,,278,,,,248,,,,,,,,,,,,81,88,,
00156400,Emory University,2024,2023,97,,,198,153,21,13,5,7,1280,,,,19,,,,,103,,,,238,,,,,,,,,,,,8,90,,
00157400,Georgia State University,2024,2023,70,,,158,147,62,30,9,0,594,,,,23,,,,,159,,,,154,,,,,,,,,,,,16,90,,
00158015,Mercer University,2024,2023,51,,,76,75,20,13,8,1,829,,,,4,,,,,42,,,,126,,,,,,,,,,,,30,89,,
00159800,University of Georgia,2024,2023,56,,,157,112,19,11,3,0,888,,,,45,,,,,218,,,,270,,,,,,,,,,,,11,89,,
00161000,University of Hawaii,2024,2023,32,,,117,143,9,5,0,0,204,,,,50,,,,,127,,,,84,,,,,,,,,,,,10,89,,
00162600,University of Idaho,2024,2023,54,,,87,92,31,5,1,0,427,,,,16,,,,,148,,,,96,,,,,,,,,,,,7,90,,
00167100,Depaul University,2024,2023,70,,,141,121,19,10,3,0,576,,,,24,,,,,136,,,,162,,,,,,,,,,,,10,86,,
00169101,Chicago-Kent College of Law-IIT,2024,2023,62,,,138,131,31,19,13,0,2152,,,,22,,,,,178,,,,112,,,,,,,,,,,,27,87,,
00171000,Loyola University-Chicago,2024,2023,63,,,193,193,60,5,6,2,1408,,,,34,,,,,266,,,,216,,,,,,,,,,,,76,86,,
00173700,Northern Illinois University,2024,2023,27,,,84,62,12,7,3,0,188,,,,9,,,,,70,,,,65,,,,,,,,,,,,2,90,,
00173900,Northwestern University,2024,2023,61,,,255,183,72,22,1,0,840,,,,77,,,,,236,,,,181,,,,,,,,,,,,2,85,,
00175800,Southern Illinois University-Carbondale,2024,2023,53,,,51,54,10,8,0,0,332,,,,5,,,,,39,,,,42,,,,,,,,,,,,3,90,,
00177400,University of Chicago,2024,2023,65,,,187,165,29,17,7,3,676,,,,143,,,,,640,,,,16,,,,,,,,,,,,13,105,,
00177500,University of Illinois,2024,2023,56,,,138,91,25,12,6,5,371,,,,46,,,,,96,,,,253,,,,,,,,,,,,18,90,,
00177608,University of Illinois Chicago School of Law,2024,2023,55,,,127,129,59,23,6,1,1428,,,,42,,,,,212,,,,268,,,,,,,,,,,,18,90,,
00180900,Indiana University - Bloomington,2024,2023,67,,,155,126,15,10,2,2,955,,,,21,,,,,201,,,,179,,,,,,,,,,,,11,88,,
00181300,Indiana University - Indianapolis,2024,2023,70,,,284,179,44,9,7,0,634,,,,8,,,,,144,,,,236,,,,,,,,,,,,24,90,,
00184000,University of Notre Dame,2024,2023,54,,,198,330,35,8,3,0,421,,,,36,,,,,184,,,,160,,,,,,,,,,,,25,90,,
00186000,Drake University,2024,2023,56,,,102,44,19,2,0,0,339,,,,14,,,,,120,,,,83,,,,,,,,,,,,25,90,,
00189200,University of Iowa,2024,2023,58,,,144,141,25,5,5,2,605,,,,28,,,,,105,,,,97,,,,,,,,,,,,31,88,,
00194800,University of Kansas,2024,2023,40,,,95,75,21,2,4,0,361,,,,10,,,,,110,,,,122,,,,,,,,,,,,24,90,,
00194900,Washburn University,2024,2023,52,,,108,85,20,6,0,0,615,,,,10,,,,,36,,,,75,,,,,,,,,,,,17,90,,
00198903,University of Kentucky,2024,2023,78,,,92,65,17,15,0,0,458,,,,10,,,,,67,,,,62,,,,,,,,,,,,7,90,,
00199900,University of Louisville,2024,2023,59,,,85,114,24,13,0,0,356,,,,21,,,,,91,,,,104,,,,,,,,,,,,27,90,,
00201000,Louisiana State University,2024,2023,67,,,99,69,27,19,12,2,357,,,,11,,,,,76,,,,187,,,,,,,,,,,,12,94,,
00201600,Loyola University-New Orleans,2024,2023,49,,,127,192,33,23,3,0,773,,,,32,,,,,182,,,,66,,,,,,,,,,,,40,90,,
00202500,Southern University,2024,2023,43,,,74,124,69,19,0,0,259,,,,8,,,,,526,,,,142,,,,,,,,,,,,14,,,
00202900,Tulane University,2024,2023,69,,,231,206,41,17,3,3,627,,,,19,,,,,185,,,,229,,,,,,,,,,,,21,88,,
00205400,University of Maine,2024,2023,79,,,88,65,12,3,0,0,220,,,,13,,,,,59,,,,89,,,,,,,,,,,,6,90,,
00210200,University of Baltimore,2024,2023,65,,,141,111,36,13,0,0,308,,,,20,,,,,168,,,,159,,,,,,,,,,,,27,87,,
00210400,University of Maryland,2024,2023,55,,,206,174,26,16,0,0,910,,,,80,,,,,303,,,,146,,,,,,,,,,,,12,85,,
00212801,Boston College,2024,2023,54,,,218,194,24,14,6,3,1538,,,,107,,,,,226,,,,113,,,,,,,,,,,,24,85,,
00213007,Boston University,2024,2023,57,,,234,177,26,9,4,0,467,,,,57,,,,,622,,,,147,,,,,,,,,,,,25,85,,
00215510,Harvard University,2024,2023,80,,,478,269,107,26,11,13,1211,,,,127,,,,,732,,,,484,,,,,,,,,,,,0,88,,
00219900,Northeastern University,2024,2023,62,,,113,118,24,5,4,1,458,,,,26,,,,,378,,,,169,,,,,,,,,,,,4,83,,
00221007,University of Massachusetts Dartmouth,2024,2023,46,,,70,65,22,4,0,0,593,,,,15,,,,,77,,,,76,,,,,,,,,,,,4,90,,
00221810,Suffolk University,2024,2023,100,,,212,239,40,17,12,5,1328,,,,34,,,,,220,,,,156,,,,,,,,,,,,27,84,,
00222600,Western New England University,2024,2023,74,,,96,83,20,6,0,0,374,,,,27,,,,,60,,,,68,,,,,,,,,,,,11,88,,
00225400,Michigan State University,2024,2023,71,,,151,147,22,14,8,0,775,,,,50,,,,,70,,,,94,,,,,,,,,,,,7,88,,
00232300,University of Detroit Mercy,2024,2023,55,,,107,91,21,21,0,0,394,,,,22,,,,,301,,,,97,,,,,,,,,,,,13,90,,
00232503,University of Michigan,2024,2023,61,,,250,184,55,13,5,1,779,,,,89,,,,,357,,,,103,,,,,,,,,,,,11,83,,
00232902,Wayne State University,2024,2023,32,,,103,68,16,8,1,0,254,,,,12,,,,,101,,,,89,,,,,,,,,,,,7,86,,
00234500,University of St. Thomas (Minnesota),2024,2023,61,,,116,88,30,3,1,0,426,,,,18,,,,,134,,,,792,,,,,,,,,,,,11,88,,
00239101,Mitchell Hamline School of Law,2024,2023,57,,,199,297,67,33,10,0,860,,,,13,,,,,397,,,,569,,,,,,,,,,,,20,86,,
00241501,Mississippi College,2024,2023,61,,,77,70,28,10,0,0,120,,,,11,,,,,97,,,,82,,,,,,,,,,,,10,90,,
00244000,University of Mississippi,2024,2023,49,,,145,80,18,11,4,5,457,,,,27,,,,,122,,,,78,,,,,,,,,,,,12,90,,
00250609,Saint Louis University,2024,2023,62,,,141,117,24,12,7,1,820,,,,19,,,,,74,,,,101,,,,,,,,,,,,18,91,,
00251600,University of Missouri,2024,2023,44,,,91,72,23,9,0,0,334,,,,8,,,,,68,,,,80,,,,,,,,,,,,8,89,,
00251800,University of Missouri-Kansas City,2024,2023,54,,,151,194,18,7,8,0,485,,,,16,,,,,168,,,,124,,,,,,,,,,,,16,91,,
00252000,Washington University,2024,2023,62,,,153,159,43,21,10,1,697,,,,20,,,,,203,,,,203,,,,,,,,,,,,18,86,,
00253600,University of Montana,2024,2023,88,,,93,42,17,1,3,0,257,,,,28,,,,,29,,,,84,,,,,,,,,,,,13,90,,
00254200,Creighton University,2024,2023,51,,,88,94,14,4,4,0,646,,,,11,,,,,60,,,,40,,,,,,,,,,,,24,90,,
00256500,University of Nebraska,2024,2023,71,,,136,98,24,9,3,0,670,,,,14,,,,,124,,,,95,,,,,,,,,,,,8,93,,
00256900,University of Nevada - Las Vegas,2024,2023,59,,,108,92,26,4,2,0,509,,,,8,,,,,56,,,,156,,,,,,,,,,,,15,89,,
00258903,University of New Hampshire,2024,2023,79,,,147,123,37,14,2,0,762,,,,48,,,,,95,,,,165,,,,,,,,,,,,31,85,,
00262900,Rutgers University,2024,2023,57,,,220,233,54,13,5,5,1250,,,,43,,,,,356,,,,134,,,,,,,,,,,,25,84,,
00263201,Seton Hall University,2024,2023,60,,,148,168,53,10,7,3,1329,,,,26,,,,,166,,,,210,,,,,,,,,,,,63,88,,
00266300,University of New Mexico,2024,2023,29,,,104,93,17,3,0,0,104,,,,19,,,,,124,,,,79,,,,,,,,,,,,20,86,,
00267700,Brooklyn Law School,2024,2023,62,,,235,213,28,20,14,1,2160,,,,32,,,,,520,,,,569,,,,,,,,,,,,16,85,,
00270711,Columbia University,2024,2023,75,,,325,223,54,30,13,15,588,,,,137,,,,,366,,,,998,,,,,,,,,,,,19,84,,
00271101,Cornell University,2024,2023,48,,,260,164,34,9,5,1,487,,,,73,,,,,233,,,,260,,,,,,,,,,,,0,84,,
00272203,Fordham University,2024,2023,47,,,299,282,39,17,9,4,1479,,,,150,,,,,242,,,,335,,,,,,,,,,,,26,83,,
00273200,Hofstra University,2024,2023,61,,,152,192,32,9,7,6,925,,,,44,,,,,132,,,,93,,,,,,,,,,,,16,87,,
00278300,New York Law School,2024,2023,49,,,175,161,54,17,12,1,595,,,,78,,,,,337,,,,227,,,,,,,,,,,,12,86,,
00278500,New York University,2024,2023,86,,,361,223,85,27,10,10,502,,,,116,,,,,1042,,,,440,,,,,,,,,,,,44,83,,
00279102,Pace University,2024,2023,57,,,166,185,36,14,10,1,452,,,,37,,,,,111,,,,153,,,,,,,,,,,,38,88,,
00282300,"St. John's University",2024,2023,56,,,167,150,35,9,14,0,884,,,,43,,,,,162,,,,162,,,,,,,,,,,,11,89,,
00283700,University of Buffalo-SUNY,2024,2023,75,,,140,108,31,2,2,0,337,,,,32,,,,,123,,,,70,,,,,,,,,,,,2,90,,
00288200,Syracuse University,2024,2023,33,,,140,147,31,11,0,0,1721,,,,9,,,,,183,,,,210,,,,,,,,,,,,12,87,,
00288600,Albany Law School of Union University,2024,2023,54,,,120,87,21,17,0,1,334,,,,27,,,,,108,,,,230,,,,,,,,,,,,8,87,,
00290301,Cardozo School of Law,2024,2023,50,,,205,136,40,11,16,5,1528,,,,75,,,,,288,,,,310,,,,,,,,,,,,34,84,,
00291300,Campbell University,2024,2023,58,,,97,96,26,15,2,2,1401,,,,68,,,,,132,,,,125,,,,,,,,,,,,29,90,,
00292002,Duke University,2024,2023,58,,,243,175,61,19,6,1,1776,,,,71,,,,,269,,,,88,,,,,,,,,,,,0,85,,
00292701,Elon University,2024,2023,56,,,68,49,19,6,1,0,1190,,,,15,,,,,42,,,,164,,,,,,,,,,,,7,86,,
00295000,North Carolina Central University,2024,2023,36,,,71,124,28,5,0,1,491,,,,5,,,,,153,,,,55,,,,,,,,,,,,14,88,,
00297400,University of North Carolina,2024,2023,45,,,121,99,23,7,6,2,668,,,,40,,,,,151,,,,148,,,,,,,,,,,,7,86,,
00297805,Wake Forest University,2024,2023,44,,,139,109,5,2,2,0,1001,,,,32,,,,,186,,,,76,,,,,,,,,,,,20,,,
