schoolid,schoolname,Cohort,LT_Emp,Bar_FTLT,Bar_FTST,Bar_PTLT,Bar_PTST,Bar_Emp,JDA_FTLT,JDA_FTST,JDA_PTLT,JDA_PTST,JDA_Emp,Prof_FTLT,Prof_FTST,Prof_PTLT,Prof_PTST,Prof_Emp,Nprof_FTLT,Nprof_FTST,Nprof_PTLT,Nprof_PTST,Nprof_Emp,Undet_FTLT,Undet_FTST,Undet_PTLT,Undet_PTST,Undet_Emp,GradSch_FT,GradSch,Emp_Def,Unemp_NS,Unemp_Seek,Emp_Stat_Unk,Total_Grads,FundBar_FTLT,FundBar_FTST,FundBar_PTLT,FundBar_PTST,FundBar_Emp,LawFund_LT,LawFund_ST,FundJDA_FTLT,FundJDA_FTST,FundJDA_PTLT,FundJDA_PTST,FundJDA_Emp,FundProf_FTLT,FundProf_FTST,FundProf_PTLT,FundProf_PTST,FundProf_Emp,FundNprof_FTLT,FundNprof_FTST,FundNprof_PTLT,FundNprof_PTST,FundNprof_Emp,Funded_FTLT,Funded_FTST,Funded_PTLT,Funded_PTST,Funded_Emp,Solo_FTLT,Solo_FTST,Solo_PTLT,Solo_PTST,Solo_Emp,Solo_LT,Solo_ST,Sz_1_10_FTLT,Sz_1_10_FTST,Sz_1_10_PTLT,Sz_1_10_PTST,Sz_1_10_Emp,Sz_2_10_LT,Sz_2_10_ST,Sz_11_25_FTLT,Sz_11_25_FTST,Sz_11_25_PTLT,Sz_11_25_PTST,Sz_11_25_Emp,Sz_11_25_LT,Sz_11_25_ST,Sz_26_50_FTLT,Sz_26_50_FTST,Sz_26_50_PTLT,Sz_26_50_PTST,Sz_26_50_Emp,Sz_26_50_LT,Sz_26_50_ST,Sz_51_100_FTLT,Sz_51_100_FTST,Sz_51_100_PTLT,Sz_51_100_PTST,Sz_51_100_Emp,Sz_51_100_LT,Sz_51_100_ST,Sz_101_250_FTLT,Sz_101_250_FTST,Sz_101_250_PTLT,Sz_101_250_PTST,Sz_101_250_Emp,Sz_101_250_LT,Sz_101_250_ST,Sz_251_500_FTLT,Sz_251_500_FTST,Sz_251_500_PTLT,Sz_251_500_PTST,Sz_251_500_Emp,Sz_251_500_LT,Sz_251_500_ST,Sz_501up_FTLT,Sz_501up_FTST,Sz_501up_PTLT,Sz_501up_PTST,Sz_501up_Emp,Sz_501up_LT,Sz_501up_ST,Sz_Unk_FTLT,Sz_Unk_FTST,Sz_Unk_PTLT,Sz_Unk_PTST,Sz_Unk_Emp,Sz_Unk_LT,Sz_Unk_ST,BsInd_FTLT,BsInd_FTST,BsInd_PTLT,BsInd_PTST,BsInd_Emp,BsInd_LT,BsInd_ST,Gov_FTLT,Gov_FTST,Gov_PTLT,Gov_PTST,Gov_Emp,Gov_LT,Gov_St,Pub_FTLT,Pub_FTST,Pub_PTLT,Pub_PTST,Pub_Emp,Pub_LT,Pub_ST,FedClk_FTLT,FedClk_FTST,FedClk_PTLT,FedClk_PTST,FedClk_Emp,FedClk_LT,FedClk_ST,LocClk_FTLT,LocClk_FTST,LocClk_PTLT,LocClk_PTST,LocClk_Emp,LocClk_LT,LocClk_ST,IntlClk,IntlClk_FTLT,IntlClk_FTST,IntlClk_PTLT,IntlClk_PTST,TribalClk,TribalClk_FTLT,TribalClk_FTST,TribalClk_PTLT,TribalClk_PTST,OthClk_FTLT,OthClk_FTST,OthClk_PTLT,OthClk_PTST,OthClk_Emp,Acad_FTLT,Acad_FTST,Acad_PTLT,Acad_PTST,Acad_Emp,Acad_LT,Acad_ST,Unk_FTLT,Unk_FTST,Unk_PTLT,Unk_PTST,Unk_Emp,Total_FTLT,Total_FTST,Total_PTLT,Total_PTST,Total_Emp_Type,Total_LT,Total_ST,State_Emp1,State_Emp1_Num,State_Emp2,State_Emp2_Num,State_Emp3,State_Emp3_Num,Foreign_Emp_Num
00100300,Faulkner University,2024,,54,0,0,0,54,5,0,3,0,8,6,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,,1,0,4,0,74,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,,25,0,2,0,27,,,2,0,0,0,2,,,3,0,0,0,3,,,0,0,0,0,0,,,1,0,0,0,1,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,,,5,0,0,0,5,,,19,0,0,0,19,,,4,0,1,0,5,,,0,0,0,0,0,,,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,3,0,0,0,3,,,0,0,0,0,0,66,0,3,0,69,,,AL,46,GA,9,FL,5,0
00103600,Samford University,2024,,120,1,1,0,122,13,1,1,1,16,0,0,0,1,1,1,0,1,2,4,0,0,0,0,0,2,,0,2,8,0,155,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40,0,0,0,40,,,15,0,0,0,15,,,5,0,0,0,5,,,8,0,0,0,8,,,9,0,0,0,9,,,8,0,0,0,8,,,10,0,0,0,10,,,2,0,0,0,2,,,9,1,2,3,15,,,10,0,1,1,12,,,8,0,0,0,8,,,3,1,0,0,4,,,5,0,0,0,5,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,2,,,0,0,0,0,0,134,2,3,4,143,,,AL,102,FL,13,GA,9,0
00105100,University of Alabama,2024,,135,0,1,0,136,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,1,1,6,0,154,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,17,0,1,0,18,,,12,0,0,0,12,,,7,0,0,0,7,,,3,0,0,0,3,,,11,0,0,0,11,,,7,0,0,0,7,,,31,0,0,0,31,,,0,0,0,0,0,,,7,0,0,0,7,,,10,0,0,0,10,,,12,0,0,0,12,,,17,0,0,0,17,,,5,0,0,0,5,,,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,1,,,0,0,0,0,0,141,0,1,0,142,,,AL,70,DC,9,TX,9,1
00108100,Arizona State University,2024,,259,0,0,0,259,11,0,2,0,13,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,6,,0,2,6,2,291,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,33,0,1,0,34,,,18,0,0,0,18,,,14,0,0,0,14,,,9,0,0,0,9,,,13,0,0,0,13,,,15,0,0,0,15,,,32,0,0,0,32,,,3,0,0,0,3,,,17,0,2,0,19,,,49,0,0,0,49,,,19,0,0,0,19,,,9,0,0,0,9,,,36,0,0,0,36,,,0,0,0,0,0,1,1,0,0,0,,,,,,3,0,0,0,3,,,1,0,0,0,1,272,0,3,0,275,,,AZ,198,CA,18,DC,11,5
00108300,University of Arizona,2024,,95,0,1,0,96,9,0,0,0,9,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,,0,0,11,0,120,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,0,1,0,14,,,6,0,0,0,6,,,7,0,0,0,7,,,1,0,0,0,1,,,6,0,0,0,6,,,3,0,0,0,3,,,9,0,0,0,9,,,0,0,0,0,0,,,3,0,0,0,3,,,13,0,0,0,13,,,15,0,0,0,15,,,6,0,0,0,6,,,20,0,0,0,20,,,0,0,0,0,0,0,0,0,0,0,,,,,,5,0,0,0,5,,,0,0,0,0,0,107,0,1,0,108,,,AZ,69,CA,6,OR,4,1
00110101,University of Arkansas-Little Rock,2024,,93,1,1,0,95,16,0,0,0,16,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,9,,3,3,8,1,138,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,,31,1,1,0,33,,,7,0,0,0,7,,,8,0,0,0,8,,,7,0,0,0,7,,,0,0,0,0,0,,,3,0,0,0,3,,,0,0,0,0,0,,,0,0,0,0,0,,,9,0,0,0,9,,,27,0,0,0,27,,,11,0,0,0,11,,,3,0,0,0,3,,,2,0,0,0,2,,,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,2,,,0,0,0,0,0,111,2,1,0,114,,,AR,86,MO,5,TX,4,1
00110800,University of Arkansas-Fayetteville,2024,,88,1,2,1,92,10,1,0,0,11,2,0,1,0,3,1,0,1,0,2,0,0,0,0,0,8,,1,1,6,0,124,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,30,0,0,0,30,,,7,0,0,0,7,,,3,0,0,0,3,,,7,0,0,0,7,,,2,0,0,0,2,,,5,0,0,0,5,,,5,0,0,0,5,,,1,0,0,0,1,,,16,1,1,0,18,,,13,1,2,1,17,,,8,0,0,0,8,,,1,0,0,0,1,,,2,0,0,0,2,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,0,1,,,0,0,0,0,0,101,2,4,1,108,,,AR,74,MO,9,TX,9,0
00116453,Chapman University,2024,,106,0,0,0,106,15,1,2,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,3,1,13,0,145,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,38,0,1,0,39,,,18,1,0,0,19,,,11,0,0,0,11,,,6,0,0,0,6,,,4,0,0,0,4,,,3,0,0,0,3,,,9,0,0,0,9,,,0,0,0,0,0,,,11,0,1,0,12,,,8,0,0,0,8,,,9,0,0,0,9,,,2,0,0,0,2,,,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,1,,,0,0,0,0,0,122,1,2,0,125,,,CA,121,IL,1,IN,1,0
00129500,Southwestern Law School,2024,,194,1,3,0,198,23,0,3,0,26,6,0,4,1,11,0,0,0,0,0,0,0,0,0,0,2,,3,15,31,4,290,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,58,0,3,0,61,,,36,0,0,0,36,,,27,0,1,0,28,,,4,0,0,0,4,,,3,0,0,0,3,,,6,0,0,0,6,,,20,0,0,0,20,,,1,0,0,0,1,,,21,0,5,1,27,,,18,0,0,0,18,,,22,1,1,0,24,,,0,0,0,0,0,,,4,0,0,0,4,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,2,,,0,0,0,0,0,223,1,10,1,235,,,CA,222,NV,2,TX,2,0
00130503,Stanford University,2024,,164,0,0,0,164,6,1,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,,0,1,0,1,199,17,0,0,0,17,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,,,6,0,0,0,6,,,0,0,0,0,0,,,5,0,0,0,5,,,4,0,0,0,4,,,6,0,0,0,6,,,7,0,0,0,7,,,80,0,0,0,80,,,0,0,0,0,0,,,4,0,0,0,4,,,7,1,0,0,8,,,32,0,0,0,32,,,35,0,0,0,35,,,3,0,0,0,3,,,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,1,,,0,0,0,0,0,190,1,0,0,191,,,CA,69,NY,37,DC,28,2
