schoolid,schoolname,CalendarYear,TotalJD,HispanicJD,AmIndianJD,AsianJD,BlackJD,NatHawJD,TwoorMoreJD,MinorityJD,WhiteJD,NonresalienJD,UnknownJD,MenJD,HispanicMenJD,AmIndianMenJD,AsianMenJD,BlackMenJD,NatHawMenJD,TwoorMoreMenJD,MinorityMenJD,WhiteMenJD,NonresalienMenJD,UnknownMenJD,WomenJD,HispanicWomenJD,AmIndianWomenJD,AsianWomenJD,BlackWomenJD,NatHawWomenJD,TwoorMoreWomenJD,MinorityWomenJD,WhiteWomenJD,NonresalienWomenJD,UnknownWomenJD,TotalFTJD,FTHispanicJD,FTAmIndJD,FTAsianJD,FTBlackJD,FTNatHawJD,FTTwoorMoreJD,FTMinorityJD,FTWhiteJD,FTNonresalienJD,FTUnknownJD,TotalPTJD,PTHispanicJD,PTAmIndJD,PTAsianJD,PTBlackJD,PTNatHawJD,PTTwoorMoreJD,PTMinorityJD,PTWhiteJD,PTNonresalienJD,PTUnknownJD,AGIJD,PNRJD,AmIndianAGIJD,AmIndianPNRJD,AsianAGIJD,AsianPNRJD,BlackAGIJD,BlackPNRJD,HispanicAGIJD,HispanicPNRJD,MinorityAGIJD,MinorityPNRJD,NatHawAGIJD,NatHawPNRJD,TwoorMoreAGIJD,TwoorMorePNRJD,NonresalienAGIJD,NonresalienPNRJD,UnknownAGIJD,UnknownPNRJD,WhiteAGIJD,WhitePNRJD,TotalJD1,HispanicJD1,AmIndianJD1,AsianJD1,BlackJD1,NatHawJD1,TwoorMoreJD1,MinorityJD1,WhiteJD1,NonresalienJD1,UnknownJD1,AmIndianMenJD1,AmIndianAGIJD1,AmIndianPNRJD1,AmIndianWomenJD1,AsianMenJD1,AsianAGIJD1,AsianPNRJD1,AsianWomenJD1,BlackMenJD1,BlackAGIJD1,BlackPNRJD1,BlackWomenJD1,HispanicMenJD1,HispanicAGIJD1,HispanicPNRJD1,HispanicWomenJD1,MinorityMenJD1,MinorityAGIJD1,MinorityPNRJD1,MinorityWomenJD1,NatHawMenJD1,NatHawAGIJD1,NatHawPNRJD1,NatHawWomenJD1,NonresalienMenJD1,NonresalienAGIJD1,NonresalienPNRJD1,NonresalienWomenJD1,TwoorMoreMenJD1,TwoorMoreAGIJD1,TwoorMorePNRJD1,TwoorMoreWomenJD1,UnknownMenJD1,UnknownAGIJD1,UnknownPNRJD1,UnknownWomenJD1,WhiteMenJD1,WhiteAGIJD1,WhitePNRJD1,WhiteWomenJD1,MenJD1,AGIJD1,PNRJD1,WomenJD1,TotalJD2,AmIndianJD2,AmIndianMenJD2,AmIndianAGIJD2,AmIndianPNRJD2,AmIndianWomenJD2,AsianJD2,AsianMenJD2,AsianAGIJD2,AsianPNRJD2,AsianWomenJD2,BlackJD2,BlackMenJD2,BlackAGIJD2,BlackPNRJD2,BlackWomenJD2,HispanicJD2,HispanicMenJD2,HispanicAGIJD2,HispanicPNRJD2,HispanicWomenJD2,MinorityJD2,MinorityMenJD2,MinorityAGIJD2,MinorityPNRJD2,MinorityWomenJD2,NatHawJD2,NatHawMenJD2,NatHawAGIJD2,NatHawPNRJD2,NatHawWomenJD2,NonresalienJD2,NonresalienMenJD2,NonresalienAGIJD2,NonresalienPNRJD2,NonresalienWomenJD2,TwoorMoreJD2,TwoorMoreMenJD2,TwoorMoreAGIJD2,TwoorMorePNRJD2,TwoorMoreWomenJD2,UnknownJD2,UnknownMenJD2,UnknownAGIJD2,UnknownPNRJD2,UnknownWomenJD2,WhiteJD2,WhiteMenJD2,WhiteAGIJD2,WhitePNRJD2,WhiteWomenJD2,MenJD2,AGIJD2,PNRJD2,WomenJD2,TotalJD3,AmIndianJD3,AmIndianMenJD3,AmIndianAGIJD3,AmIndianPNRJD3,AmIndianWomenJD3,AsianJD3,AsianMenJD3,AsianAGIJD3,AsianPNRJD3,AsianWomenJD3,BlackJD3,BlackMenJD3,BlackAGIJD3,BlackPNRJD3,BlackWomenJD3,HispanicJD3,HispanicMenJD3,HispanicAGIJD3,HispanicPNRJD3,HispanicWomenJD3,MinorityJD3,MinorityMenJD3,MinorityAGIJD3,MinorityPNRJD3,MinorityWomenJD3,NatHawJD3,NatHawMenJD3,NatHawAGIJD3,NatHawPNRJD3,NatHawWomenJD3,NonresalienJD3,NonresalienMenJD3,NonresalienAGIJD3,NonresalienPNRJD3,NonresalienWomenJD3,TwoorMoreJD3,TwoorMoreMenJD3,TwoorMoreAGIJD3,TwoorMorePNRJD3,TwoorMoreWomenJD3,UnknownJD3,UnknownMenJD3,UnknownAGIJD3,UnknownPNRJD3,UnknownWomenJD3,WhiteJD3,WhiteMenJD3,WhiteAGIJD3,WhitePNRJD3,WhiteWomenJD3,MenJD3,AGIJD3,PNRJD3,WomenJD3,TotalJD4,AmIndianJD4,AmIndianMenJD4,AmIndianAGIJD4,AmIndianPNRJD4,AmIndianWomenJD4,AsianJD4,AsianMenJD4,AsianAGIJD4,AsianPNRJD4,AsianWomenJD4,BlackJD4,BlackMenJD4,BlackAGIJD4,BlackPNRJD4,BlackWomenJD4,HispanicJD4,HispanicMenJD4,HispanicAGIJD4,HispanicPNRJD4,HispanicWomenJD4,MinorityJD4,MinorityMenJD4,MinorityAGIJD4,MinorityPNRJD4,MinorityWomenJD4,NatHawJD4,NatHawMenJD4,NatHawAGIJD4,NatHawPNRJD4,NatHawWomenJD4,NonresalienJD4,NonresalienMenJD4,NonresalienAGIJD4,NonresalienPNRJD4,NonresalienWomenJD4,TwoorMoreJD4,TwoorMoreMenJD4,TwoorMoreAGIJD4,TwoorMorePNRJD4,TwoorMoreWomenJD4,UnknownJD4,UnknownMenJD4,UnknownAGIJD4,UnknownPNRJD4,UnknownWomenJD4,WhiteJD4,WhiteMenJD4,WhiteAGIJD4,WhitePNRJD4,WhiteWomenJD4,MenJD4,AGIJD4,PNRJD4,WomenJD4
00100300,Faulkner University,2024,342,19,2,4,61,0,8,94,241,,7,154,8,1,3,14,0,5,31,118,,5,188,11,1,1,47,0,3,63,123,,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,159,9,0,3,34,0,6,52,103,,4,0,0,0,0,2,0,0,1,5,0,0,29,4,0,0,5,14,0,0,38,0,0,0,0,,,,,3,0,0,3,4,0,0,0,46,0,0,57,64,0,0,95,97,0,0,0,0,0,1,1,0,0,0,16,5,0,0,11,5,1,0,0,4,22,7,0,0,15,0,0,0,0,0,,,,,,0,0,0,0,0,3,1,0,0,2,72,39,0,0,33,47,0,0,50,86,2,1,0,0,1,0,0,0,0,0,11,4,0,0,7,5,3,0,0,2,20,10,0,0,10,0,0,0,0,0,,,,,,2,2,0,0,0,0,0,0,0,0,66,33,0,0,33,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00103600,Samford University,2024,446,22,0,7,42,0,10,81,339,,26,186,3,0,3,17,0,3,26,151,,9,258,18,0,4,25,0,7,54,188,,16,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,0,1,0,0,158,3,0,2,10,0,5,20,121,,17,0,0,0,0,1,0,0,1,4,0,0,6,0,0,0,3,7,0,0,13,0,0,0,0,,,,,2,0,0,3,6,0,0,11,55,0,0,66,68,0,0,90,145,0,0,0,0,0,2,1,0,0,1,22,9,0,0,13,10,2,0,1,7,37,13,0,1,23,0,0,0,0,0,,,,,,3,1,0,0,2,4,0,0,1,3,104,43,0,0,61,56,0,2,87,143,0,0,0,0,0,3,1,0,0,2,10,4,0,0,6,9,1,0,0,8,24,6,0,0,18,0,0,0,0,0,,,,,,2,0,0,0,2,5,3,0,0,2,114,53,0,0,61,62,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00105100,University of Alabama,2024,395,23,0,10,37,0,11,81,301,,13,197,11,0,5,7,0,8,31,159,,7,191,12,0,5,29,0,3,49,137,,5,,,,,,,,,,,,,,,,,,,,,,,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,0,1,2,3,117,7,0,2,13,0,1,23,88,,6,0,0,0,0,1,0,0,1,2,1,0,10,3,0,0,4,7,1,0,15,0,0,0,0,,,,,1,0,0,0,3,0,0,3,48,2,2,36,58,3,2,54,133,0,0,0,0,0,5,2,0,0,3,13,2,0,0,11,3,1,0,0,2,23,7,0,0,16,0,0,0,0,0,,,,,,2,2,0,0,0,4,2,0,1,1,106,55,0,1,50,64,0,2,67,145,0,0,0,0,0,3,2,0,0,1,11,3,0,0,8,13,7,0,0,6,35,17,0,0,18,0,0,0,0,0,,,,,,8,5,0,0,3,3,2,0,0,1,107,56,0,0,51,75,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00108100,Arizona State University,2024,749,108,24,67,22,3,38,262,466,,21,330,47,9,28,11,1,12,108,214,,8,415,61,15,39,11,2,26,154,251,,10,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,1,0,251,43,10,23,6,1,6,89,155,,7,2,0,0,8,10,0,0,13,4,0,0,2,16,0,0,27,35,0,0,54,1,0,0,0,,,,,2,0,0,4,3,1,0,3,67,0,0,88,105,1,0,145,203,10,6,0,0,4,16,6,0,0,10,5,2,0,0,3,29,12,0,0,17,71,31,0,0,40,0,0,0,0,0,,,,,,11,5,0,0,6,7,2,2,0,3,125,57,1,0,67,90,3,0,110,295,4,1,0,0,3,28,12,0,0,16,11,5,0,0,6,36,19,0,0,17,102,42,0,0,60,2,0,0,0,2,,,,,,21,5,0,0,16,7,3,0,0,4,186,90,0,0,96,135,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00108300,University of Arizona,2024,359,38,7,15,7,3,48,118,204,,37,130,8,1,5,2,2,14,32,83,,15,148,18,5,5,4,0,27,59,79,,10,,,,,,,,,,,,,,,,,,,,,,,0,81,0,1,0,5,0,1,0,12,0,27,0,1,0,7,,,0,12,0,42,109,18,2,4,2,1,8,35,59,,15,0,0,1,1,0,0,4,0,1,0,1,0,1,0,12,5,2,0,26,7,0,0,1,0,,,,,0,0,7,1,3,0,10,2,13,0,36,10,18,0,72,19,122,3,0,0,0,3,4,1,0,1,2,0,0,0,0,0,5,1,0,0,4,31,10,0,1,20,2,2,0,0,0,,,,,,17,6,0,0,11,16,12,0,1,3,75,37,0,5,33,59,0,7,56,128,2,1,0,0,1,7,4,0,0,3,5,1,0,0,4,15,6,0,0,9,52,20,0,0,32,0,0,0,0,0,,,,,,23,8,0,0,15,6,0,0,1,5,70,33,0,1,36,53,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00110101,University of Arkansas-Little Rock,2024,419,32,3,11,37,0,22,105,298,,16,174,15,1,5,12,0,8,41,124,,9,242,17,1,6,25,0,13,62,174,,6,,,,,,,,,,,,,,,,,,,,,,,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,,,0,1,0,0,135,8,0,6,11,0,12,37,93,,5,0,0,0,0,3,0,0,3,4,0,0,7,3,0,0,5,14,0,1,22,0,0,0,0,,,,,4,0,1,7,2,0,1,2,40,0,0,53,56,0,2,77,118,2,1,0,1,0,3,2,0,0,1,8,0,0,0,8,12,7,0,0,5,28,11,0,1,16,0,0,0,0,0,,,,,,3,1,0,0,2,5,3,0,0,2,85,31,0,0,54,45,0,1,72,143,1,0,0,0,1,2,0,0,0,2,15,8,0,0,7,11,4,0,0,7,36,15,0,0,21,0,0,0,0,0,,,,,,7,3,0,0,4,6,4,0,0,2,101,47,0,0,54,66,0,0,77,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,0,4,1,0,0,3,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,19,6,0,0,13,7,0,0,16
00110800,University of Arkansas-Fayetteville,2024,368,42,6,4,17,1,16,86,273,,9,170,16,3,2,7,0,3,31,135,,4,198,26,3,2,10,1,13,55,138,,5,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,123,13,3,1,4,1,0,22,95,,6,1,0,0,2,0,0,0,1,3,0,0,1,5,0,0,8,9,0,0,13,0,0,0,1,,,,,0,0,0,0,1,0,0,5,52,0,0,43,62,0,0,61,128,1,0,0,0,1,3,2,0,0,1,4,0,0,0,4,16,6,0,0,10,32,9,0,0,23,0,0,0,0,0,,,,,,8,1,0,0,7,2,2,0,0,0,94,40,0,0,54,51,0,0,77,117,2,2,0,0,0,0,0,0,0,0,9,4,0,0,5,13,5,0,0,8,32,13,0,0,19,0,0,0,0,0,,,,,,8,2,0,0,6,1,1,0,0,0,84,43,0,0,41,57,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00116453,Chapman University,2024,404,80,0,62,26,1,25,194,174,,36,164,33,0,28,12,0,8,81,67,,16,238,46,0,34,14,1,17,112,107,,19,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,0,1,0,0,143,29,0,22,13,0,11,75,59,,9,0,0,0,0,11,0,0,11,3,0,0,10,12,0,1,16,29,0,1,45,0,0,0,0,,,,,3,0,0,8,3,0,0,6,20,0,0,39,52,0,1,90,126,0,0,0,0,0,18,6,0,0,12,5,4,0,0,1,24,10,0,0,14,52,23,0,0,29,0,0,0,0,0,,,,,,5,3,0,0,2,24,11,0,1,12,50,21,0,0,29,55,0,1,70,135,0,0,0,0,0,22,11,0,0,11,8,5,0,0,3,27,11,0,0,16,67,29,0,0,38,1,0,0,0,1,,,,,,9,2,0,0,7,3,2,0,0,1,65,26,0,0,39,57,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00129500,Southwestern Law School,2024,1006,292,1,98,44,0,54,489,495,,22,395,91,0,40,17,0,19,167,216,,12,599,200,1,56,27,0,35,319,273,,7,,,,,,,,,,,,,,,,,,,,,,,2,10,0,0,1,1,0,0,0,1,1,2,0,0,0,0,,,0,3,1,5,420,111,0,40,14,0,19,184,228,,8,0,0,0,0,19,0,0,21,6,0,0,8,27,0,1,83,63,0,1,120,0,0,0,0,,,,,11,0,0,8,3,0,3,2,100,1,5,122,166,1,9,244,296,1,0,0,0,1,34,11,1,1,21,10,1,0,0,9,85,34,0,0,51,150,52,1,1,96,0,0,0,0,0,,,,,,20,6,0,0,14,11,7,0,0,4,135,60,0,0,75,119,1,1,175,237,0,0,0,0,0,18,7,0,0,11,14,9,0,0,5,76,24,0,0,52,121,42,0,0,79,0,0,0,0,0,,,,,,13,2,0,0,11,3,2,0,0,1,113,49,0,0,64,93,0,0,144,53,0,0,0,0,0,6,3,0,0,3,6,1,0,0,5,20,6,0,0,14,34,10,0,0,24,0,0,0,0,0,,,,,,2,0,0,0,2,0,0,0,0,0,19,7,0,0,12,17,0,0,36
00130503,Stanford University,2024,565,86,7,128,49,1,49,320,233,,12,241,30,1,48,20,1,22,122,116,,3,316,56,5,79,28,0,26,194,113,,9,,,,,,,,,,,,,,,,,,,,,,,5,3,1,0,1,0,1,0,0,0,4,0,0,0,1,0,,,0,0,1,3,185,31,5,44,23,1,9,113,69,,3,1,1,0,3,17,1,0,26,8,1,0,14,9,0,0,22,39,4,0,70,1,0,0,0,,,,,3,1,0,5,2,0,0,1,40,1,0,28,81,5,0,99,182,2,0,0,0,2,49,15,0,0,34,9,5,0,0,4,28,11,0,0,17,107,42,0,0,65,0,0,0,0,0,,,,,,19,11,0,0,8,7,0,0,0,7,68,31,0,3,34,73,0,3,106,198,0,0,0,0,0,35,16,0,0,19,17,7,0,0,10,27,10,0,0,17,100,41,0,0,59,0,0,0,0,0,,,,,,21,8,0,0,13,2,1,0,0,1,96,45,0,0,51,87,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
