schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00100300,Faulkner University,2024,2023,40,22,18,0,0,5,19,13,6,0,0,3,21,9,12,0,0,2,5,5,0,,,
00103600,Samford University,2024,2023,86,53,33,0,0,12,28,13,15,0,0,4,58,40,18,0,0,8,3,3,0,,,
00105100,University of Alabama,2024,2023,106,69,37,0,0,16,48,29,19,0,0,6,58,40,18,0,0,10,8,7,1,,,
00108100,Arizona State University,2024,2023,220,142,78,0,0,38,74,41,33,0,0,16,146,101,45,0,0,22,13,11,2,,,
00108300,University of Arizona,2024,2023,178,95,83,0,0,55,75,36,39,0,0,28,103,59,44,0,0,27,9,8,1,,,
00110101,University of Arkansas-Little Rock,2024,2023,70,33,36,0,0,13,29,12,17,0,0,5,40,21,19,0,0,8,5,5,0,,,
00110800,University of Arkansas-Fayetteville,2024,2023,72,38,34,0,0,10,32,14,18,0,0,5,40,24,16,0,0,5,5,5,0,,,
00116453,Chapman University,2024,2023,98,58,40,0,0,17,41,25,16,0,0,6,57,33,24,0,0,11,5,5,0,,,
00129500,Southwestern Law School,2024,2023,183,94,89,0,0,56,67,27,40,0,0,20,116,67,49,0,0,36,8,8,0,,,
00130503,Stanford University,2024,2023,204,108,96,0,0,46,100,55,45,0,0,26,104,53,51,0,0,20,17,17,0,,,
00131273,University of California-Berkeley,2024,2023,338,176,162,0,0,80,111,55,56,0,0,30,227,121,106,0,0,50,13,13,0,,,
00131373,University of California-Davis,2024,2023,121,62,59,0,0,39,46,25,21,0,0,20,75,37,38,0,0,19,6,6,0,,,
00131400,University of California-Irvine,2024,2023,137,52,66,2,17,47,53,23,25,1,4,16,84,29,41,1,13,31,11,10,1,,,
00131500,University of California-Los Angeles,2024,2023,266,148,115,0,3,77,143,71,72,0,0,43,123,77,43,0,3,34,21,21,0,,,
00132500,University of San Francisco,2024,2023,86,42,42,1,1,32,43,16,26,0,1,16,43,26,16,1,0,16,4,4,0,,,
00132600,Santa Clara University,2024,2023,148,58,67,0,23,27,55,30,24,0,1,12,93,28,43,0,22,15,5,4,1,,,
00132800,University of Southern California,2024,2023,208,127,78,1,2,48,63,33,30,0,0,19,145,94,48,1,2,29,6,6,0,,,
00132901,McGeorge School of Law,2024,2023,110,60,50,0,0,26,36,24,12,0,0,6,74,36,38,0,0,20,3,3,0,,,
00137000,University of Colorado,2024,2023,125,70,52,0,3,18,67,31,36,0,0,14,58,39,16,0,3,4,9,9,0,,,
00137100,University of Denver,2024,2023,182,101,81,0,0,22,77,36,41,0,0,16,105,65,40,0,0,6,7,4,3,,,
