schoolid,schoolname,CalendarYear,AcademicYear,CondScholInd,NumEnteringCondSchol,NumEliminatedCondSchol,NumStudents,FTNumStudents,PTNumStudents,TotalRecvGrant,TotalRecvGrantP,FTRecvGrant,PTRecvGrant,TotalGrantLTHalf,TotalGrantLTHalfP,FTGrantLTHalf,PTGrantLTHalf,TotalGrantALHalf,TotalGrantALHalfP,FTGrantALHalf,PTGrantALHalf,TotalGrantFull,TotalGrantFullP,FTGrantFull,PTGrantFull,TotalGrantGTFull,TotalGrantGTFullP,FTGrantGTFull,PTGrantGTFull,FTGrantAmt75,PTGrantAmt75,FTGrantAmtMedian,PTGrantAmtMedian,FTGrantAmt25,PTGrantAmt25
00100300,Faulkner University,2024,2023,N,,,324,324,0,238,73.5,238,,137,42.3,137,,85,26.2,85,,16,4.9,16,,0,0,0,,23940,,9044,,3591,
00103600,Samford University,2024,2023,Y,149,20,449,449,0,418,93.1,418,,252,56.1,252,,165,36.7,165,,0,0,0,,1,0.2,1,,26000,,18350,,10000,
00105100,University of Alabama,2024,2023,N,,,426,426,0,402,94.4,402,,100,23.5,100,,184,43.2,184,,24,5.6,24,,94,22.1,94,,28080,,22000,,13000,
00108100,Arizona State University,2024,2023,N,,,793,793,0,773,97.5,773,,374,47.2,374,,293,36.9,293,,70,8.8,70,,36,4.5,36,,6000,,20000,,31664,
00108300,University of Arizona,2024,2023,N,,,377,377,0,357,94.7,357,,45,11.9,45,,92,24.4,92,,35,9.3,35,,185,49.1,185,,29250,,24500,,15250,
00110101,University of Arkansas-Little Rock,2024,2023,Y,87,46,435,337,98,238,54.7,192,46,117,26.9,89,28,101,23.2,87,14,14,3.2,13,1,6,1.4,3,3,13352,7176,8383,4451,3481,2337
00110800,University of Arkansas-Fayetteville,2024,2023,N,,,375,375,0,325,86.7,325,,331,88.3,331,,160,42.7,160,,0,0,0,,9,2.4,9,,12000,,9000,,6000,
00116453,Chapman University,2024,2023,Y,100,34,423,423,0,246,58.2,246,,61,14.4,61,,103,24.3,103,,23,5.4,23,,59,13.9,59,,61286,,57000,,35000,
00129500,Southwestern Law School,2024,2023,Y,222,114,950,762,188,956,100.6,758,198,626,65.9,490,136,307,32.3,254,53,18,1.9,12,6,5,0.5,2,3,35145,22513,15145,4213,145,113
00130503,Stanford University,2024,2023,N,,,565,565,0,314,55.6,314,,151,26.7,151,,106,18.8,106,,2,0.4,2,,57,10.1,57,,53708,,35805,,17903,
00131273,University of California-Berkeley,2024,2023,N,,,1043,1043,0,982,94.2,982,,509,48.8,509,,403,38.6,403,,0,0,0,,70,6.7,70,,37240,,29372,,11514,
00131373,University of California-Davis,2024,2023,N,,,658,658,0,618,93.9,618,,313,47.6,313,,299,45.4,299,,0,0,0,,6,0.9,6,,39000,,29000,,15250,
00131400,University of California-Irvine,2024,2023,N,,,473,473,0,453,95.8,453,,218,46.1,218,,235,49.7,235,,0,0,0,,0,0,0,,35000,,30000,,20000,
00131500,University of California-Los Angeles,2024,2023,N,,,1034,1034,0,882,85.3,882,,566,54.7,566,,239,23.1,239,,42,4.1,42,,35,3.4,35,,38584,,21710,,15000,
00132500,University of San Francisco,2024,2023,Y,73,28,404,382,22,270,66.8,259,11,154,38.1,151,3,113,28,106,7,1,0.2,0,1,2,0.5,2,0,41503,35813,27030,28781,19311,24000
00132600,Santa Clara University,2024,2023,Y,37,16,662,571,91,409,61.8,377,32,118,17.8,105,13,149,22.5,145,4,135,20.4,122,13,7,1.1,5,2,59254,46726,40000,30000,25000,15000
00132800,University of Southern California,2024,2023,N,,,644,644,0,619,96.1,619,,228,35.4,228,,383,59.5,383,,0,0,0,,8,1.2,8,,47000,,40000,,35000,
00132901,McGeorge School of Law,2024,2023,Y,115,36,528,427,101,484,91.7,389,95,231,43.8,177,54,121,22.9,99,22,132,25,113,19,0,0,0,0,59080,30619,32040,13414,3500,3000
00137000,University of Colorado,2024,2023,N,,,491,491,0,429,87.4,429,,294,59.9,294,,115,23.4,115,,0,0,0,,20,4.1,20,,26161,,12800,,10000,
00137100,University of Denver,2024,2023,Y,192,0,840,683,157,629,74.9,513,116,289,34.4,239,50,250,29.8,197,53,68,8.1,56,12,22,2.6,21,1,40000,30000,30000,22500,22000,16500
00140201,Quinnipiac University,2024,2023,Y,61,5,364,294,70,286,78.6,240,46,170,46.7,136,34,104,28.6,92,12,12,3.3,12,0,0,0,0,0,35000,20000,21500,10500,10500,5000
00141706,University of Connecticut,2024,2023,N,,,473,387,86,441,93.2,367,74,304,64.3,255,49,129,27.3,108,21,0,0,0,0,8,1.7,4,4,20000,13038,15177,10000,10000,5000
00142600,Yale University,2024,2023,N,,,619,619,0,388,62.7,388,,209,33.8,209,,108,17.4,108,,0,0,0,,71,11.5,71,,44484,,33774,,23388,
00143401,American University,2024,2023,N,,,1239,1021,218,822,66.3,698,124,184,14.9,160,24,522,42.1,438,84,115,9.3,99,16,1,0.1,1,0,40000,32000,40000,32000,32500,25200
