schoolid,schoolname,CalendarYear,Firsttimebaryear,State,Takers,Passers,SchoolPassPct,PassPct,PassPctDiff
00100300,Faulkner University,2024,2023,AL,29,22,0.7586,0.8018,-0.0432
00103600,Samford University,2024,2023,AL,99,80,0.8081,0.8018,0.0063
00103600,Samford University,2024,2023,GA,11,7,0.6364,0.7773,-0.1409
00105100,University of Alabama,2024,2023,AL,64,61,0.9531,0.8018,0.1513
00108100,Arizona State University,2024,2023,AZ,166,145,0.8735,0.7416,0.1319
00108100,Arizona State University,2024,2023,CA,25,18,0.72,0.7233,-0.0033
00108300,University of Arizona,2024,2023,AZ,89,69,0.7753,0.7416,0.0337
00110101,University of Arkansas-Little Rock,2024,2023,AR,106,79,0.7453,0.7706,-0.0253
00110800,University of Arkansas-Fayetteville,2024,2023,AR,102,83,0.8137,0.7706,0.0431
00110800,University of Arkansas-Fayetteville,2024,2023,TX,10,8,0.8,0.7917,0.0083
00116453,Chapman University,2024,2023,CA,139,111,0.7986,0.7233,0.0753
00129500,Southwestern Law School,2024,2023,CA,252,162,0.6429,0.7233,-0.0804
00130503,Stanford University,2024,2023,CA,88,83,0.9432,0.7233,0.2199
00130503,Stanford University,2024,2023,DC,28,28,1,0.8341,0.1659
00130503,Stanford University,2024,2023,NY,34,33,0.9706,0.8296,0.141
00131273,University of California-Berkeley,2024,2023,CA,241,206,0.8548,0.7233,0.1315
00131273,University of California-Berkeley,2024,2023,NY,36,33,0.9167,0.8296,0.0871
00131273,University of California-Berkeley,2024,2023,DC,14,14,1,0.8341,0.1659
00131373,University of California-Davis,2024,2023,CA,160,131,0.8188,0.7233,0.0955
00131400,University of California-Irvine,2024,2023,CA,120,103,0.8583,0.7233,0.135
00131500,University of California-Los Angeles,2024,2023,NY,30,28,0.9333,0.8296,0.1037
00131500,University of California-Los Angeles,2024,2023,CA,270,237,0.8778,0.7233,0.1545
00132500,University of San Francisco,2024,2023,CA,90,61,0.6778,0.7233,-0.0455
00132600,Santa Clara University,2024,2023,CA,207,128,0.6184,0.7233,-0.1049
00132800,University of Southern California,2024,2023,CA,156,125,0.8013,0.7233,0.078
00132800,University of Southern California,2024,2023,NY,16,15,0.9375,0.8296,0.1079
00132901,McGeorge School of Law,2024,2023,CA,161,108,0.6708,0.7233,-0.0525
00137000,University of Colorado,2024,2023,CO,147,118,0.8027,0.777,0.0257
00137100,University of Denver,2024,2023,CO,222,181,0.8153,0.777,0.0383
00140201,Quinnipiac University,2024,2023,CT,97,60,0.6186,0.6726,-0.054
00140201,Quinnipiac University,2024,2023,NY,12,10,0.8333,0.8296,0.0037
00141706,University of Connecticut,2024,2023,CT,104,88,0.8462,0.6726,0.1736
00141706,University of Connecticut,2024,2023,NY,30,26,0.8667,0.8296,0.0371
00142600,Yale University,2024,2023,CA,26,25,0.9615,0.7233,0.2382
00142600,Yale University,2024,2023,DC,50,49,0.98,0.8341,0.1459
00142600,Yale University,2024,2023,NY,94,89,0.9468,0.8296,0.1172
00143401,American University,2024,2023,DC,186,142,0.7634,0.8341,-0.0707
00143401,American University,2024,2023,MD,48,34,0.7083,0.6898,0.0185
00143401,American University,2024,2023,NY,33,25,0.7576,0.8296,-0.072
00143401,American University,2024,2023,VA,14,8,0.5714,0.7643,-0.1929
00143711,Catholic University of America,2024,2023,DC,62,56,0.9032,0.8341,0.0691
00143711,Catholic University of America,2024,2023,MD,17,13,0.7647,0.6898,0.0749
00143711,Catholic University of America,2024,2023,VA,11,8,0.7273,0.7643,-0.037
00144102,District of Columbia,2024,2023,DC,32,16,0.5,0.8341,-0.3341
00144402,George Washington University,2024,2023,DC,284,254,0.8944,0.8341,0.0603
00144402,George Washington University,2024,2023,NY,85,74,0.8706,0.8296,0.041
00144402,George Washington University,2024,2023,CA,29,18,0.6207,0.7233,-0.1026
00144402,George Washington University,2024,2023,VA,24,20,0.8333,0.7643,0.069
00144402,George Washington University,2024,2023,MD,22,20,0.9091,0.6898,0.2193
00144402,George Washington University,2024,2023,FL,14,12,0.8571,0.6754,0.1817
00144503,Georgetown University,2024,2023,NY,237,218,0.9198,0.8296,0.0902
00144503,Georgetown University,2024,2023,DC,233,214,0.9185,0.8341,0.0844
00144503,Georgetown University,2024,2023,CA,56,45,0.8036,0.7233,0.0803
00144503,Georgetown University,2024,2023,MD,22,20,0.9091,0.6898,0.2193
00144503,Georgetown University,2024,2023,TX,17,14,0.8235,0.7917,0.0318
00144503,Georgetown University,2024,2023,IL,12,11,0.9167,0.7828,0.1339
00144802,Howard University,2024,2023,DC,54,39,0.7222,0.8341,-0.1119
00144802,Howard University,2024,2023,NY,36,29,0.8056,0.8296,-0.024
00144802,Howard University,2024,2023,MD,13,8,0.6154,0.6898,-0.0744
00146601,Barry University,2024,2023,FL,146,81,0.5548,0.6754,-0.1206
00146800,St. Thomas University (Florida),2024,2023,FL,196,114,0.5816,0.6754,-0.0938
00148001,Florida A&M University,2024,2023,FL,77,33,0.4286,0.6754,-0.2468
00148900,Florida State University,2024,2023,FL,164,135,0.8232,0.6754,0.1478
00150900,Nova Southeastern University,2024,2023,FL,154,100,0.6494,0.6754,-0.026
00153101,Stetson University,2024,2023,FL,267,205,0.7678,0.6754,0.0924
00153505,University of Florida,2024,2023,FL,168,134,0.7976,0.6754,0.1222
00153505,University of Florida,2024,2023,NY,10,10,1,0.8296,0.1704
00153601,University of Miami,2024,2023,FL,301,230,0.7641,0.6754,0.0887
00153601,University of Miami,2024,2023,NY,23,17,0.7391,0.8296,-0.0905
00156400,Emory University,2024,2023,CA,16,11,0.6875,0.7233,-0.0358
00156400,Emory University,2024,2023,FL,12,7,0.5833,0.6754,-0.0921
00156400,Emory University,2024,2023,GA,116,102,0.8793,0.7773,0.102
00156400,Emory University,2024,2023,NY,42,39,0.9286,0.8296,0.099
00156400,Emory University,2024,2023,NC,12,9,0.75,0.7398,0.0102
00156400,Emory University,2024,2023,TX,11,11,1,0.7917,0.2083
00157400,Georgia State University,2024,2023,GA,168,131,0.7798,0.7773,0.0025
00158015,Mercer University,2024,2023,GA,109,84,0.7706,0.7773,-0.0067
00159800,University of Georgia,2024,2023,GA,119,110,0.9244,0.7773,0.1471
00161000,University of Hawaii,2024,2023,HI,74,50,0.6757,0.6897,-0.014
00162600,University of Idaho,2024,2023,ID,70,54,0.7714,0.7143,0.0571
00162600,University of Idaho,2024,2023,WA,12,9,0.75,0.8273,-0.0773
00167100,Depaul University,2024,2023,IL,129,96,0.7442,0.7828,-0.0386
00169101,Chicago-Kent College of Law-IIT,2024,2023,IL,195,164,0.841,0.7828,0.0582
00171000,Loyola University-Chicago,2024,2023,IL,194,165,0.8505,0.7828,0.0677
00173700,Northern Illinois University,2024,2023,IL,77,49,0.6364,0.7828,-0.1464
00173900,Northwestern University,2024,2023,CA,35,30,0.8571,0.7233,0.1338
00173900,Northwestern University,2024,2023,IL,145,134,0.9241,0.7828,0.1413
00173900,Northwestern University,2024,2023,NY,48,44,0.9167,0.8296,0.0871
00175800,Southern Illinois University-Carbondale,2024,2023,IL,46,29,0.6304,0.7828,-0.1524
