Law School Name,LSAT,UGPA,MoreThanHalfScholarship,Debt,FedClerk,NationalFirm,PublicService,SmallFirm,RegionalFirm,TotalEmploy,EmployScore,FirstTimeBar
Akron,153,3.54,34,162808.00,0.0,4.2,23.5,20.2,23.5,71.4,68.1,72.2
Alabama,165,3.95,43,172084.00,8.1,26.0,20.3,14.6,17.1,86.1,87.8,91.3
Albany,156,3.47,44,304533.00,0.0,5.5,35.2,17.0,24.2,81.9,88.5,82.1
American University,160,3.61,42,337249.00,2.2,14.1,29.1,8.3,12.1,65.8,79.2,74.8
Appalachian,147,3.04,28,315701.00,0.0,1.9,25.9,27.8,7.4,63.0,61.1,61.2
Arizona (U of AZ),163,3.78,24,178252.00,4.4,10.5,21.1,22.8,14.0,72.8,76.3,78.4
Arizona State,165,3.9,37,212255.00,2.7,13.9,21.2,15.8,13.5,67.1,81.1,86.6
Arkansas-Fay,156,3.63,43,142476.00,2.5,6.8,20.3,17.8,18.6,66.0,72.0,82.5
Arkansas-Little Rock,151,3.47,23,139351.00,0.8,3.3,22.1,26.2,13.9,66.3,61.5,75.4
Atlanta's John Marshall,150,3.09,13,331339.00,0.0,3.5,17.4,22.1,9.3,52.3,45.3,64.9
Ave Maria,153,3.41,41,309644.00,0.0,6.1,22.4,23.5,14.3,66.3,64.3,67.7
Baltimore,153,3.42,20,226555.00,0.0,4.6,18.4,16.8,10.2,50.0,67.3,64.7
Barry,150,3.21,22,271801.00,0.0,3.2,22.7,24.3,10.3,60.5,60.0,52.8
Baylor,163,3.73,50,263456.00,5.8,15.2,15.2,23.2,32.6,92.0,94.2,91.6
Belmont,160,3.79,28,323911.00,0.0,9.1,11.8,34.5,20.0,75.4,80.0,94.6
Berkeley (UC),170,3.87,39,413496.00,7.4,50.6,21.7,1.8,7.1,88.6,87.8,88.2
Boston College,167,3.8,17,353770.00,2.9,51.9,15.2,5.3,13.2,88.5,93.0,95.6
Boston University,170,3.88,42,322237.00,3.3,48.6,15.6`,3.3,16.5,71.7,88.9,87.7
Brigham Young University,168,3.92,12,144859.00,9.0,20.7,16.2,15.3,16.2,77.4,82.9,95.4
Brooklyn,160,3.54,44,368228.00,1.6,24.1,21.8,13.8,16.7,78.0,81.7,78.8
Buffalo,156,3.71,20,192498.00,0.6,7.0,33.1,15.9,26.1,82.7,80.3,81.0
California Western,153,3.39,22,346693.00,0.0,2.2,17.7,28.7,17.1,65.7,50.8,48.4
Campbell,156,3.57,41,321645.00,0.7,4.1,22.4,30.6,18.4,76.2,74.1,81.9
Capital,151,3.39,44,236228.00,0.0,9.3,18.6,26.4,14.0,68.3,69.0,77.4
Cardozo/ Yeshiva,164,3.8,59,391774.00,0.6,24.8,18.2,17.9,17.3,78.8,84.0,83.9
Case Western Reserve,160,3.7,78,344323.00,2.5,16.1,19.5,9.3,20.3,67.7,72.9,72.9
Catholic University of America,160,3.64,50,340822.00,2.8,11.9,25.7,10.1,13.8,64.3,71.6,84.5
Chapman,162,3.67,24,392918.00,2.1,5.6,9.8,25.9,42.0,85.4,82.5,80.0
Charleston,153,3.54,35,277590.00,0.0,1.8,18.5,23.2,19.6,63.1,70.2,65.6
Chicago,173,3.94,6,434680.00,25.4,59.6,5.6,0.5,3.3,94.4,93.9,97.1
Chicago-Kent,160,3.74,58,301421.00,0.9,16.8,19.2,15.0,21.0,72.9,73.8,84.1
Cincinnati,158,3.81,60,186986.00,0.8,10.2,32.3,15.7,18.1,77.1,79.5,87.9
City University of New York,154,3.44,5,154152.00,0.0,1.9,52.9,4.9,1.5,61.2,61.7,55.9
Cleveland State,155,3.43,41,191097.00,0.0,9.2,16.0,19.3,29.4,73.9,69.7,66.4
Colorado,164,3.79,23,277467.00,1.8,13.5,28.1,9.4,21.1,73.9,83.0,81.1
Columbia,173,3.9,17,435569.00,4.9,75.9,10.3,0.0,3.5,94.6,95.4,95.4
Connecticut,161,3.72,27,204364.00,1.9,9.6,13.4,11.5,24.8,61.2,79.0,81.0
Cooley / Western Michigan,147,3.15,12,269522.00,0.0,2.7,23.0,20.9,10.2,56.8,49.2,37.3
Cornell,173,3.89,26,403335.00,5.2,69.0,12.6,0.0,6.3,93.1,90.8,94.9
Creighton,152,3.42,29,285578.00,0.8,3.3,27.9,18.0,15.6,65.6,67.2,65.3
Davis (UC),163,3.68,45,361115.00,1.1,25.3,32.0,8.4,16.3,83.1,86.5,82.7
Dayton,156,3.66,77,223251.00,0.9,7.9,28.1,29.8,12.3,79.0,83.3,86.5
Denver,159,3.65,30,355138.00,1.1,8.4,25.3,17.2,18.0,70.0,79..3,81.7
DePaul,158,3.65,60,295258.00,0.0,15.7,15.7,10.5,26.8,68.7,70.6,75.0
Detroit Mercy,154,3.55,23,253279.00,0.5,14.9,10.1,22.9,33.0,81.4,80.9,59.2
Drake,156,3.56,50,263907.00,1.0,1.9,19.2,25.0,30.8,77.9,78.8,90.6
Drexel,158,3.72,38,318140.00,0.7,6.6,15.8,14.5,22.4,60.0,84.9,76.8
Duke,170,3.89,25,384708.00,10.9,64.3,8.4,1.3,7.1,92.0,95.0,94.4
Duquesne,156,3.57,28,312120.00,2.9,9.5,16.1,24.8,21.2,74.5,79.6,83.3
Elon,153,3.41,45,270990.00,0.8,1.6,18.1,27.6,22.0,70.1,64.6,59.3
Emory,165,3.81,55,358526.00,5.8,43.2,14.0,5.4,14.8,83.2,88.7,86.2
Faulkner,150,3.3,26,256248.00,0.0,0.0,30.6,27.8,11.1,69.5,61.1,66.7
Florida (U of FL),169,3.9,14,166435.00,3.6,35.7,17.6,10.0,19.5,86.4,88.2,81.9
Florida A&M,151,3.44,18,173726.00,0.0,6.3,32.1,12.5,7.1,58.0,53.6,40.2
Florida International,160,3.73,13,191394.00,1.3,12.5,24.3,20.4,27.0,85.5,79.6,86.5
Florida State,165,3.91,31,156566.00,2.1,19.1,27.7,9.6,25.0,83.5,88.3,83.0
Fordham,167,3.76,36,406983.00,2.7,51.2,12.6,4.4,13.3,84.2,88.1,87.8
George Mason,168,3.92,47,233810.00,9.2,11.0,27.6,11.7,11.7,71.2,81.6,87.4
George Washington,168,3.87,19,381228.00,4.2,35.3,20.2,7.3,15.8,82.8,89.8,86.1
Georgetown,171,3.92,28,419938.00,4.2,60.6,17.8,0.4,5.0,88.0,89.3,90.5
Georgia (U of GA),169,3.91,21,154779.00,9.8,27.2,14.5,11.0,15.6,78.1,89.0,92.6
Georgia State,159,3.56,16,148755.00,1.9,13.8,17.6,21.4,25.2,79.9,82.4,78.5
Gonzaga,154,3.55,62,299158.00,0.0,3.0,30.1,26.3,13.5,72.9,75.2,69.3
Harvard,174,3.95,13,423981.00,11.4,58.4,13.3,0.7,6.1,89.9,90.2,96.1
Hawaii,156,3.7,13,174659.00,1.1,1.1,20.7,13.0,25.0,60.9,71.7,69.1
Hofstra,155,3.62,18,396882.00,0.8,13.9,25.9,17.8,23.9,82.3,83.8,76.3
Houston,161,3.75,14,212922.00,1.7,30.0,9.6,15.0,29.2,85.5,85.0,86.0
Howard,155,3.47,15,261980.00,3.0,53.0,15.9,2.3,4.5,78.7,85.6,74.2
Idaho,152,3.46,5,169759.00,1.7,2.5,28.0,32.2,10.2,74.6,81.4,74.8
Illinois-Champ,165,3.77,70,217069.00,4.6,25.7,17.1,9.2,18.4,75.0,80.9,72.5
Illinois-Chicago,152,3.38,33,229399.00,1.4,7.6,19.7,18.3,18.3,65.3,67.6,59.2
Inter American-Puerto Rico,143,3.32,1,151704.00,0.0,0.0,17.3,10.7,8.7,36.7,23.3,45.5
Iowa,162,3.76,28,205185.00,6.6,24.6,16.2,10.2,19.2,76.8,94.0,88.9
Irvine (UC),167,3.81,50,361884.00,7.7,44.6,15.4,9.2,12.3,89.2,92.3,86.9
IU-Bloomington/Maurer,164,3.91,63,232731.00,4.6,13.2,23.6,12.1,20.1,73.6,78.7,81.5
IU-Indianapolis,155,3.59,27,204570.00,1.8,11.5,26.5,15.9,21.7,77.4,76.5,76.0
Jacksonville,154,3.53,43,,,,,,,0.0,,
Kansas,161,3.79,11,160970.00,6.7,11.1,25.6,14.4,18.9,76.7,84.4,91.9
Kentucky,158,3.71,23,174496.00,8.5,10.9,16.3,20.9,19.4,76.0,86.0,74.2
Lewis & Clark,160,3.58,44,326362.00,0.6,6.7,28.7,18.5,16.3,70.8,71.3,77.6
Liberty,153,3.55,61,299331.00,1.1,0.0,24.2,19.8,17.6,62.7,74.7,82.1
Lincoln Memorial,152,3.44,58,279724.00,0.0,0.0,20.4,30.6,10.2,61.2,60.2,60.9
Louisiana State,156,3.71,43,183035.00,2.2,9.6,16.3,20.2,24.7,73.0,83.7,92.0
Louisville,156,3.59,36,193547.00,1.8,9.8,18.8,25.0,21.4,76.8,77.7,74.8
Loyola Marymount-LA,162,3.72,44,411229.00,1.3,19.3,12.7,21.5,23.1,77.9,80.1,78.8
Loyola-Chicago,160,3.6,60,330527.00,2.6,22.7,16.6,15.3,21.8,79.0,82.1,83.6
Loyola-New Orleans,152,3.38,40,298551.00,2.7,3.8,15.8,22.8,28.8,73.9,75.5,66.3
Maine,157,3.66,33,179555.00,1.4,1.4,19.2,24.7,17.8,64.5,68.5,88.2
Marquette,156,3.7,39,266378.00,0.5,9.1,15.1,23.7,28.5,76.9,84.4,99.5
Maryland,163,3.73,44,251433.00,2.9,12.3,12.7,7.8,10.8,46.5,75.5,74.9
Massachusetts-Dartmouth,151,3.39,20,238066.00,1.8,0.9,28.1,23.7,11.4,65.9,64.0,59.4
Memphis,154,3.48,17,169857.00,1.0,10.4,18.8,25.0,13.5,68.7,70.8,76.1
Mercer,155,3.63,31,235004.00,2.5,4.9,18.9,23.8,30.3,80.4,85.2,76.5
Miami,163,3.76,54,397657.00,0.3,24.7,17.0,12.1,20.6,74.7,76.9,75.6
Michigan (UMich),171,3.86,30,359421.00,13.7,58.0,13.0,0.7,6.2,91.6,95.4,97.3
Michigan State (MSU),160,3.63,44,232673.00,1.5,7.2,18.0,13.4,25.3,65.4,69.6,72.8
Minnesota,169,3.88,55,272702.00,5.8,23.1,21.6,7.7,17.3,75.5,92.3,89.6
Mississippi,157,3.64,36,154313.00,7.5,10.6,19.9,13.0,18.6,69.6,75.2,73.7
Mississippi College,150,3.31,24,227598.00,5.3,2.7,20.4,28.3,13.3,70.0,78.8,75.2
