schoolid,schoolname,CalendarYear,SchoolType,TermType,FTResTuition,PTResTuition,FTNonResTuition,PTNonResTuition,FTResTermTuition,PTResTermTuition,FTNonResTermTuition,PTNonResTermTuition,TuitionGuarInd,OnCampusCosts,OffCampusCosts,AtHomeCosts
00100300,Faulkner University,2024,PRI,SEM,40400,,40400,,20200,,20200,,N,30100,29600,29600
00103600,Samford University,2024,PRI,SEM,46326,,46326,,23163,,23163,,N,,30282,9176
00105100,University of Alabama,2024,PUB,SEM,25317,,47537,,12659,,23769,,N,22620,22620,22620
00108100,Arizona State University,2024,PUB,SEM,28299,,50317,,14150,,25159,,N,30090,30090,30090
00108300,University of Arizona,2024,PUB,SEM,25353,,29988,,12677,,14994,,N,24200,24200,24200
00110101,University of Arkansas-Little Rock,2024,PUB,SEM,17474,,33884,,8737,,16942,,N,18170,22450,10912
00110800,University of Arkansas-Fayetteville,2024,PUB,SEM,18881,,41751,,9441,,20876,,N,21326,21326,21326
00116453,Chapman University,2024,PRI,SEM,63201,50475,63201,50475,31601,25238,31601,25238,N,32956,41778,27918
00129500,Southwestern Law School,2024,PRI,SEM,60728,40502,60728,40502,30364,20251,30364,20251,N,34615,36560,21305
00130503,Stanford University,2024,PRI,QTR,76608,,76608,,25536,,25536,,N,47826,49410,
00131273,University of California-Berkeley,2024,PUB,SEM,66454,,78881,,33227,,39441,,N,37028,37028,17956
00131373,University of California-Davis,2024,PUB,SEM,57409,,69654,,28705,,34827,,N,33048,33048,33048
00131400,University of California-Irvine,2024,PUB,SEM,58578,,70823,,29289,,35412,,N,25890,37397,16926
00131500,University of California-Los Angeles,2024,PUB,SEM,59132,,71377,,29566,,35689,,N,32923,32923,16138
00132500,University of San Francisco,2024,PRI,SEM,55290,,55290,,27645,,27645,,N,30004,31314,
00132600,Santa Clara University,2024,PRI,SEM,61606,48574,61606,48574,30803,24287,30803,24287,N,33942,33942,9120
00132800,University of Southern California,2024,PRI,SEM,81940,,81940,,40970,,40970,,N,27618,28428,18052
00132901,McGeorge School of Law,2024,PRI,SEM,61432,40996,61432,40996,30716,20498,30716,20498,N,33917,33917,33917
00137000,University of Colorado,2024,PUB,SEM,36494,,44324,,18247,,22162,,N,27320,27346,19848
00137100,University of Denver,2024,PRI,SEM,61862,45394,61862,45394,30931,22697,30931,22697,N,27050,27050,27050
00140201,Quinnipiac University,2024,PRI,SEM,56080,,56080,,28040,,28040,,N,28724,28724,19840
00141706,University of Connecticut,2024,PUB,SEM,31508,,62550,,15754,,31275,,N,,24998,12274
00142600,Yale University,2024,PRI,SEM,76369,,76369,,38185,,38185,,N,27210,27210,27210
00143401,American University,2024,PRI,SEM,65566,,65566,,32783,,32783,,N,33140,33140,33140
