schoolid,schoolname,CalendarYear,TransIn,TransOut,TransOut1L,TransJD1GPA75,TransJD1GPA50,TransJD1GPA25
00100300,Faulkner University,2024,2,,4,,,
00103600,Samford University,2024,2,,5,,,
00105100,University of Alabama,2024,7,,0,,3.54,
00108100,Arizona State University,2024,20,,9,3.37,3.18,3.03
00108300,University of Arizona,2024,1,,6,,,
00110101,University of Arkansas-Little Rock,2024,1,,2,,,
00110800,University of Arkansas-Fayetteville,2024,3,,2,,,
00116453,Chapman University,2024,6,,7,,3.09,
00129500,Southwestern Law School,2024,0,,6,,,
00130503,Stanford University,2024,7,,0,,3.88,
00131273,University of California-Berkeley,2024,33,,5,3.91,3.8,3.69
00131373,University of California-Davis,2024,2,,14,,,
00131400,University of California-Irvine,2024,4,,11,,,
00131500,University of California-Los Angeles,2024,31,,10,3.91,3.73,3.68
00132500,University of San Francisco,2024,3,,7,,,
00132600,Santa Clara University,2024,4,,7,,,
00132800,University of Southern California,2024,18,,6,3.76,3.62,3.57
00132901,McGeorge School of Law,2024,2,,7,,,
00137000,University of Colorado,2024,0,,2,,,
00137100,University of Denver,2024,5,,0,,,
00140201,Quinnipiac University,2024,1,,1,,,
00141706,University of Connecticut,2024,2,,0,,,
00142600,Yale University,2024,9,,0,,3.94,
00143401,American University,2024,12,,42,3.58,3.02,2.9
00143711,Catholic University of America,2024,1,,5,,,
00144102,District of Columbia,2024,2,,8,,,
00144402,George Washington University,2024,63,,39,3.49,3.36,3.19
00144503,Georgetown University,2024,123,,3,3.82,3.69,3.59
00144802,Howard University,2024,5,,1,,,
00146601,Barry University,2024,5,,10,,,
00146800,St. Thomas University (Florida),2024,1,,7,,,
00148001,Florida A&M University,2024,2,,3,,,
00148900,Florida State University,2024,18,,3,3.58,3.42,3.25
00149500,Jacksonville University,2024,0,,1,,,
00150900,Nova Southeastern University,2024,0,,21,,,
00153101,Stetson University,2024,3,,6,,,
00153505,University of Florida,2024,27,,2,3.71,3.51,3.44
00153601,University of Miami,2024,10,,13,,3.28,
00156400,Emory University,2024,6,,15,,3.05,
00157400,Georgia State University,2024,7,,1,,3.29,
00158015,Mercer University,2024,2,,3,,,
00159800,University of Georgia,2024,5,,0,,,
