justice,justiceName,LastName,FirstName,StartDate,EndDate
112,SAAlito,Alito,Samuel,1/31/2006,
23,HBaldwin,Baldwin,Henry,01/18/1830,04/21/1844
26,PPBarbour,Barbour,Philip,05/12/1836,02/25/1841
117,ACBarrett,Barrett,Amy,10/27/2020,
78,HLBlack,Black,Hugo,8/19/1937,9/17/1971
100,HABlackmun,Blackmun,Harry,6/9/1970,8/3/1994
5,JBlair,Blair,John,02/02/1790,01/27/1796
49,SBlatchford,Blatchford,Samuel,04/03/1882,07/07/1893
42,JPBradley,Bradley,Joseph,03/21/1870,01/22/1892
68,LDBrandeis,Brandeis,Louis,6/5/1916,2/13/1939
92,WJBrennan,Brennan,William,10/16/1956,7/20/1990
52,DJBrewer,Brewer,David,01/06/1890,3/28/1910
110,SGBreyer,Breyer,Stephen,8/3/1994,6/30/2022
53,HBBrown,Brown,Henry,01/05/1891,5/28/1906
99,WEBurger,Burger,Warren,6/23/1969,9/26/1986
86,HHBurton,Burton,Harold,10/1/1945,10/13/1958
72,PButler,Butler,Pierce,1/2/1923,11/16/1939
83,JFByrnes,Byrnes,James,7/8/1941,10/3/1942
34,JACampbell,Campbell,John,04/11/1853,04/30/1861
77,BNCardozo,Cardozo,Benjamin,3/14/1932,7/9/1938
27,JCatron,Catron,John,05/01/1837,05/30/1865
10,SChase,Chase,Samuel,02/04/1796,06/19/1811
40,SPChase,Chase,Salmon,12/15/1864,05/07/1873
88,TCClark,Clark,Tom,8/24/1949,6/12/1967
69,JHClarke,Clarke,John,10/9/1916,9/18/1922
35,NClifford,Clifford,Nathan,01/21/1858,07/25/1881
33,BRCurtis,Curtis,Benjamin,10/10/1851,09/30/1857
3,WCushing,Cushing,William,02/02/1790,09/13/1810
29,PVDaniel,Daniel,Peter,01/10/1842,05/31/1860
38,DDavis,Davis,David,10/17/1862,03/04/1877
60,WRDay,Day,William,3/2/1903,11/13/1922
81,WODouglas,Douglas,William,4/17/1939,11/12/1975
18,GDuvall,Duvall,Gabriel,11/23/1811,01/14/1835
11,OEllsworth,Ellsworth,Oliver,03/08/1796,12/15/1800
39,SJField,Field,Stephen,05/20/1863,12/01/1897
97,AFortas,Fortas,Abe,10/4/1965,5/14/1969
80,FFrankfurter,Frankfurter,Felix,1/30/1939,8/28/1962
51,MWFuller,Fuller,Melville,10/08/1888,7/4/1910
109,RBGinsburg,Ginsburg,Ruth,8/10/1993,9/18/2020
96,AJGoldberg,Goldberg,Arthur,10/1/1962,7/25/1965
115,NMGorsuch,Gorsuch,Neil,4/8/2017,
48,HGray,Gray,Horace,01/09/1882,9/15/1902
32,RCGrier,Grier,Robert,08/10/1846,01/31/1870
45,JHarlan1,Harlan,John,12/10/1877,10/14/1911
91,JHarlan2,Harlan,John,3/28/1955,9/23/1971
59,OWHolmes,Holmes,Oliver,8/11/1902,1/12/1932
63,CEHughes1,Hughes,Charles,10/10/1910,6/10/1916
75,CEHughes2,Hughes,Charles,2/24/1930,7/1/1941
43,WHunt,Hunt,Ward,01/09/1873,01/27/1882
6,JIredell,Iredell,James,05/12/1790,10/20/1799
55,HEJackson,Jackson,Howell,03/04/1893,08/08/1895
118,KBJackson,Jackson,Ketanji,6/30/2022,
84,RHJackson,Jackson,Robert,7/11/1941,10/9/1954
1,JJay,Jay,John,10/19/1789,06/29/1795
7,TJohnson,Johnson,Thomas,09/19/1791,02/22/1793
15,WJohnson,Johnson,William,05/07/1804,08/04/1834
114,EKagan,Kagan,Elena,8/7/2010,
116,BMKavanaugh,Kavanaugh,Brett,10/6/2018,
106,AMKennedy,Kennedy,Anthony,2/18/1988,7/31/2018
50,LQLamar,Lamar,Lucius,01/18/1888,01/23/1893
65,JRLamar,Lamar,Joseph,1/3/1911,1/2/1916
16,HBLivingston,Livingston,Henry,01/20/1807,03/18/1823
62,HHLurton,Lurton,Horace,1/3/1910,7/12/1914
14,JMarshall,Marshall,John,02/04/1801,07/06/1835
98,TMarshall,Marshall,Thurgood,10/2/1967,10/1/1991
47,SMatthews,Matthews,Stanley,05/17/1881,03/22/1889
58,JMcKenna,McKenna,Joseph,01/26/1898,1/5/1925
28,JMcKinley,McKinley,John,04/22/1837,07/19/1852
22,JMcLean,McLean,John,01/11/1830,04/04/1861
67,JCMcReynolds,McReynolds,James,10/12/1914,1/31/1941
37,SFMiller,Miller,Samuel,07/21/1862,10/13/1890
89,SMinton,Minton,Sherman,10/12/1949,10/15/1956
61,WHMoody,Moody,William,12/17/1906,11/20/1910
13,AMoore,Moore,Alfred,04/21/1800,01/26/1804
82,FMurphy,Murphy,Frank,2/5/1940,7/19/1949
30,SNelson,Nelson,Samuel,02/27/1845,11/28/1872
104,SDOConnor,O'Connor,Sandra,9/25/1981,1/31/2006
8,WPaterson,Paterson,William,03/11/1793,09/09/1806
57,RWPeckham,Peckham,Rufus,01/06/1896,10/24/09
66,MPitney,Pitney,Mahlon,3/18/1912,12/31/1922
101,LFPowell,Powell,Lewis,1/7/1972,6/26/1987
79,SFReed,Reed,Stanley,1/31/1938,2/25/1957
102,WHRehnquist,Rehnquist,William,1/7/1972,9/3/2005
76,OJRoberts,Roberts,Owen,6/2/1930,7/31/1945
111,JGRoberts,Roberts,John,9/29/2005,
2,JRutledge1,Rutledge,John,02/15/1790,03/05/1791
9,JRutledge2,Rutledge,John,08/12/1795,12/15/1795
85,WBRutledge,Rutledge,Wiley,2/15/1943,9/10/1949
73,ETSanford,Sanford,Edward,2/19/1923,3/8/1930
105,AScalia,Scalia,Antonin,9/26/1986,2/13/2016
54,GShiras,Shiras,George,10/10/1892,2/23/1903
113,SSotomayor,Sotomayor,Sonia,8/8/2009,
107,DHSouter,Souter,David,10/9/1990,6/29/2009
103,JPStevens,Stevens,John,12/19/1975,6/29/2010
94,PStewart,Stewart,Potter,10/14/1958,7/3/1981
74,HFStone,Stone,Harlan,3/2/1925,4/22/1946
19,JStory,Story,Joseph,02/03/1812,09/10/1845
41,WStrong,Strong,William,03/14/1870,12/14/1880
71,GSutherland,Sutherland,George,10/2/1922,1/17/1938
36,NHSwayne,Swayne,Noah,01/27/1862,01/24/1881
70,WHTaft,Taft,William,7/11/1921,2/3/1930
25,RBTaney,Taney,Roger,03/28/1836,10/12/1864
108,CThomas,Thomas,Clarence,10/23/1991,
20,SThompson,Thompson,Smith,09/01/1823,12/18/1843
17,TTodd,Todd,Thomas,05/04/1807,02/07/1826
21,RTrimble,Trimble,Robert,06/16/1826,08/25/1828
87,FMVinson,Vinson,Fred,6/24/1946,9/8/1953
44,MRWaite,Waite,Morrison,03/04/1874,04/03/1888
90,EWarren,Warren,Earl,10/5/1953,6/23/1969
12,BWashington,Washington,Bushrod,11/09/1798,11/26/1829
24,JMWayne,Wayne,James,01/14/1835,07/05/1867
56,EDEWhite,White,Edward,03/12/1894,5/19/1921
95,BRWhite,White,Byron,4/16/1962,6/28/1993
93,CEWhittaker,Whittaker,Charles,3/25/1957,3/31/1962
64,WVanDevanter,Van Devanter,Willis,1/3/1911,6/2/1937
4,JWilson,Wilson,James,10/05/1789,08/21/1798
31,LWoodbury,Woodbury,Levi,09/23/1845,09/04/1851
46,WBWoods,Woods,William,01/05/1881,05/14/1887
